Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,Encoder_pos,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,vehicle_speed,range,Throtle_Pedal,Odometer,Mode_Control,Pre_charge_Status,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,FaultCode,FaultData,SEQ_Fault,CS_Fault,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors
2025-02-25 09:01:48,0x191AFF71,True,can0,8,39.74730616666667,30.47491,829.0,2.83,-6.52,-2,user1,t_0,Calculating,100,15 saat 18 dakika,['1000 km bakımı: Servise gidin.'],-59.4765625,-1.0,334,1,93,77,68.0,-68.0,Enabled,0,93,100,34,-11,49.25,93,138,3.5,61,0,1060.5,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,N_position,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,42.76,40.95,1394,2539.3,5099.6,12.200000000000001,3277.9,3284.2000000000003,3284.5,3285.0,3283.9,3285.6000000000004,3286.4,3287.0,3286.6000000000004,3279.5,0.0,55.1,3282.8,3285.5,3285.5,3284.6000000000004,3281.2000000000003,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0,2,0,3,1,1,1,8,3277.9,3287.0,3284.0,-7,-6,139.4,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,No Fault,0,158,158,26.1875,-18.4375,26.25,-18.125,0.4375,-0.25,0.0234375,-1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,2,0,0,1,255,0,0,0,0,0,0,0
2025-02-25 09:01:49,0x1918FF71,True,can0,8,39.747307,30.474910166666668,828.8,3.08,-6.52,-2,user1,t_0,Calculating,100,15 saat 41 dakika,['1000 km bakımı: Servise gidin.'],-59.4765625,-1.0,334,1,181,165,68.0,-68.0,Enabled,0,180,187,34,-11,49.1875,180,224,3.5,61,0,1060.5,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,N_position,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,42.76,40.95,1394,2538.0,5100.0,11.9,3277.8,3284.3,3284.4,3285.0,3283.9,3285.4,3286.5,3286.9,3286.5,3279.4,0.0,55.1,3282.7000000000003,3285.6000000000004,3285.6000000000004,3284.6000000000004,3281.0,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0,2,0,3,1,1,1,8,3277.8,3286.9,3283.9,-7,-6,139.4,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,No Fault,0,162,162,25.9375,-18.25,26.25,-18.125,0.375,-0.375,0.02734375,-1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,2,0,0,1,255,0,0,0,0,0,0,0
2025-02-25 09:01:50,0x1919FF71,True,can0,8,39.747307666666664,30.474910333333334,828.8,3.08,-6.52,-2,user1,t_0,Calculating,100,15 saat 18 dakika,['1000 km bakımı: Servise gidin.'],-59.4765625,-1.0,334,1,37,21,68.0,-68.0,Enabled,0,37,44,34,-11,49.25,36,81,3.5,61,0,1060.5,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,N_position,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,42.76,40.95,1394,2539.3,5099.8,12.200000000000001,3277.8,3284.4,3284.6000000000004,3285.1000000000004,3284.0,3285.4,3286.5,3287.0,3286.6000000000004,3279.6000000000004,0.0,55.1,3282.8,3285.6000000000004,3285.7000000000003,3284.6000000000004,3281.2000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0,2,0,3,1,1,1,8,3277.8,3287.0,3284.0,-7,-6,139.4,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,No Fault,0,168,168,26.0625,-18.1875,26.25,-18.125,0.3125,-0.375,0.02734375,-1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,2,0,0,1,255,0,0,0,0,0,0,0
2025-02-25 09:01:51,0x1919FF71,True,can0,8,39.747308,30.47491,828.8,3.16,-6.52,-2,user1,t_0,Calculating,100,15 saat 41 dakika,['1000 km bakımı: Servise gidin.'],-59.4765625,-1.0,334,1,137,121,68.0,-68.0,Enabled,0,137,144,34,-10,49.1875,136,181,3.5,61,0,1060.5,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,N_position,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,42.76,40.95,1394,2538.4,5099.900000000001,11.9,3277.8,3284.2000000000003,3284.5,3285.0,3283.9,3285.5,3286.6000000000004,3287.0,3286.6000000000004,3279.5,0.0,55.1,3282.8,3285.5,3285.5,3284.6000000000004,3281.1000000000004,0.1,0.0,0.1,0.2,0.2,0.1,0.1,0,2,0,3,1,1,1,8,3277.8,3287.0,3284.0,-7,-6,139.4,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,No Fault,0,173,173,26.5625,-18.25,26.25,-18.125,0.4375,-0.1875,0.0234375,-1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,2,0,0,1,255,0,0,0,0,0,0,0
2025-02-25 09:01:52,0x00000201,False,can0,8,39.747309,30.474909833333335,828.8,3.16,-6.52,-2,user1,t_0,Calculating,100,15 saat 49 dakika,['1000 km bakımı: Servise gidin.'],-59.4765625,-1.0,334,1,237,221,68.0,-68.0,Enabled,0,237,244,34,-11,49.1875,237,25,3.5,61,0,1060.5,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,N_position,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,42.76,40.95,1394,2538.1000000000004,5099.900000000001,11.8,3277.9,3284.4,3284.5,3285.0,3284.0,3285.4,3286.5,3287.1000000000004,3286.6000000000004,3279.5,0.0,55.1,3282.7000000000003,3285.6000000000004,3285.5,3284.6000000000004,3281.2000000000003,0.0,0.1,0.0,0.1,0.2,0.1,0.1,0,2,0,3,1,1,1,8,3277.9,3287.1000000000004,3284.0,-7,-6,139.4,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,No Fault,0,178,178,26.375,-17.875,26.25,-18.125,0.4375,-0.1875,0.0234375,-1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,2,0,0,1,255,0,0,0,0,0,0,0
2025-02-25 09:01:53,0x1919FF71,True,can0,8,39.74730983333333,30.474908833333334,828.8,2.81,-6.52,-2,user1,t_0,Calculating,100,15 saat 49 dakika,['1000 km bakımı: Servise gidin.'],-59.4765625,-1.0,334,1,81,65,68.0,-68.0,Enabled,0,81,88,34,-10,49.25,80,126,3.5,61,0,1060.5,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,N_position,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,42.76,40.95,1394,2537.9,5100.1,11.8,3277.9,3284.4,3284.6000000000004,3285.0,3284.0,3285.5,3286.4,3287.0,3286.5,3279.6000000000004,0.1,55.1,3282.7000000000003,3285.7000000000003,3285.6000000000004,3284.6000000000004,3281.2000000000003,0.0,0.0,0.0,0.2,0.1,0.1,0.1,0,2,0,3,1,1,1,8,3277.9,3287.0,3284.0,-7,-6,139.4,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,No Fault,0,183,183,25.875,-18.25,26.25,-18.125,0.4375,-0.3125,0.02734375,-1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,2,0,0,1,255,0,0,0,0,0,0,0
2025-02-25 09:01:54,0x191CFF71,True,can0,8,39.747310666666664,30.4749085,828.8,2.81,-6.52,-2,user1,t_0,Calculating,100,15 saat 41 dakika,['1000 km bakımı: Servise gidin.'],-59.4765625,-1.0,334,1,181,165,68.0,-68.0,Enabled,0,181,188,34,-11,49.25,181,226,3.5,61,0,1060.5,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,N_position,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,42.76,40.95,1394,2538.1000000000004,5099.8,11.9,3278.0,3284.4,3284.6000000000004,3285.0,3284.1000000000004,3285.5,3286.7000000000003,3287.2000000000003,3286.6000000000004,3279.6000000000004,0.1,55.1,3282.8,3285.6000000000004,3285.6000000000004,3284.6000000000004,3281.3,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0,2,0,3,1,1,1,8,3278.0,3287.2000000000003,3284.1000000000004,-7,-6,139.4,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,No Fault,0,188,188,26.0,-17.25,26.25,-18.125,0.375,-0.375,0.02734375,-1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,2,0,0,1,255,0,0,0,0,0,0,0
2025-02-25 09:01:55,0x1919FF71,True,can0,8,39.74731116666667,30.4749085,828.7,3.08,-6.48,-2,user1,t_0,Calculating,100,15 saat 41 dakika,['1000 km bakımı: Servise gidin.'],-59.4765625,-1.0,334,1,19,3,68.0,-68.0,Enabled,0,19,26,34,-10,49.1875,18,63,3.5,61,0,1060.5,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,N_position,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,42.76,40.95,1394,2538.2000000000003,5099.5,11.9,3277.9,3284.4,3284.7000000000003,3285.1000000000004,3284.1000000000004,3285.6000000000004,3286.6000000000004,3287.1000000000004,3286.7000000000003,3279.6000000000004,0.0,55.1,3282.9,3285.7000000000003,3285.6000000000004,3284.7000000000003,3281.3,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0,2,0,3,1,1,1,8,3277.9,3287.1000000000004,3284.1000000000004,-7,-6,139.4,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,No Fault,0,192,192,26.5,-17.875,26.25,-18.125,0.375,-0.25,0.0234375,-1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,2,0,0,1,255,0,0,0,0,0,0,0
2025-02-25 09:01:56,0x191AFF71,True,can0,8,39.74731166666667,30.474908833333334,828.7,3.08,-6.48,-2,user1,t_0,Calculating,100,15 saat 41 dakika,['1000 km bakımı: Servise gidin.'],-59.4765625,-1.0,334,1,105,89,68.0,-68.0,Enabled,0,105,112,34,-10,49.1875,105,150,3.5,61,0,1060.5,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,N_position,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,42.76,40.95,1394,2538.1000000000004,5099.8,11.9,3277.9,3284.5,3284.6000000000004,3285.0,3284.1000000000004,3285.7000000000003,3286.7000000000003,3287.0,3286.7000000000003,3279.5,0.0,55.1,3282.8,3285.6000000000004,3285.8,3284.7000000000003,3281.3,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0,2,0,3,1,1,1,8,3277.9,3287.0,3284.1000000000004,-7,-6,139.4,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,No Fault,0,197,197,25.4375,-18.625,26.25,-18.125,0.5,-0.1875,0.02734375,-1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,2,0,0,1,255,0,0,0,0,0,0,0
2025-02-25 09:01:57,0x1918FF71,True,can0,8,39.7473115,30.474908666666668,828.7,3.08,-6.48,-2,user1,t_0,Calculating,100,15 saat 10 dakika,['1000 km bakımı: Servise gidin.'],-59.4765625,-1.0,334,1,226,210,68.0,-68.0,Enabled,0,225,232,34,-10,49.1875,225,14,3.5,61,0,1060.5,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,N_position,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,42.76,40.95,1394,2539.6000000000004,5099.400000000001,12.3,3278.0,3284.5,3284.6000000000004,3285.1000000000004,3284.2000000000003,3285.7000000000003,3286.6000000000004,3287.2000000000003,3286.7000000000003,3279.5,0.0,55.1,3282.9,3285.7000000000003,3285.8,3284.7000000000003,3281.3,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0,2,0,3,1,1,1,8,3278.0,3287.2000000000003,3284.1000000000004,-7,-6,139.4,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,No Fault,0,203,203,26.375,-18.9375,26.25,-18.125,0.4375,-0.1875,0.0234375,-1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,2,0,0,1,255,0,0,0,0,0,0,0
