Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,FaultCode,FaultData,SEQ_Fault,CS_Fault,Encoder_pos,vehicle_speed,range,Throtle_Pedal,Odometer,Mode_Control,Pre_charge_Status,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors,Timer,Severity,Error_Code
2025-02-25 09:08:25,0x191CFF71,True,can0,8,39.74732,30.474902,822.4,5.8100000000000005,-4.32,-2,user1,t_0,01:00,100,15 saat 45 dakika,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,117,124,38,-7,49.125,117,168,No Fault,0,95,95,-66.39622497558594,6.5,61,0,1060.7,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,D_Posiiton,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,-1.0,580,1,117,170,42.54,40.72,1387,2538.3,5100.1,11.9,3268.2000000000003,3274.5,3274.9,3275.2000000000003,3274.2000000000003,3276.0,3276.9,3277.5,3277.1000000000004,3269.9,0.0,55.1,3273.2000000000003,3276.0,3276.0,3274.9,3271.3,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0,2,0,3,1,1,1,8,3268.2000000000003,3277.5,3274.3,-7,-6,138.70000000000002,326.0,326.0,49.1,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,21.25,0.1875,21.8125,0.0,0.5625,1.4375,0.07421875,0.0,0,0,0,0.0,1,1,1,1,1,1,0,0,3,3,0,5,3,255,0,0,0,0,0,0,8,2.7,3,2008
2025-02-25 09:08:26,0x191CFF71,True,can0,8,39.747331833333334,30.474902666666665,822.1,5.8100000000000005,-4.32,-2,user1,t_0,01:00,100,15 saat 21 dakika,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,217,224,38,-7,49.125,217,12,No Fault,0,100,100,-47.46144104003906,6.0,61,0,1060.7,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,0,D_Posiiton,0,1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,1.0,556,2,217,25,42.54,40.72,1387,2539.2000000000003,5099.3,12.200000000000001,3270.2000000000003,3276.5,3276.8,3277.3,3276.2000000000003,3277.9,3278.9,3279.4,3278.9,3271.8,0.0,55.1,3275.3,3278.1000000000004,3278.0,3276.9,3273.3,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0,2,0,3,1,1,1,8,3270.2000000000003,3279.4,3276.3,-7,-6,138.70000000000002,326.0,326.0,49.1,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,22.0,0.625,21.8125,0.0,0.375,1.125,0.05859375,0.0,0,0,0,0.0,7,7,7,6,6,6,0,0,3,3,0,5,2,255,0,0,0,0,0,0,8,2.7,3,2008
2025-02-25 09:08:27,0x191AFF71,True,can0,8,39.74734633333333,30.474903,821.4,5.84,-4.32,-2,user1,t_0,01:00,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,61,68,38,-7,48.8125,61,107,No Fault,0,105,105,-28.108535766601562,7.0,61,0,1060.7,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,2,D_Posiiton,0,10.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,10.0,617,22,61,94,42.54,40.72,1387,2463.9,5099.5,-6.300000000000001,3241.9,3250.1000000000004,3249.2000000000003,3250.6000000000004,3249.4,3247.8,3253.5,3254.5,3253.4,3245.2000000000003,0.0,55.1,3248.1000000000004,3250.9,3251.5,3249.6000000000004,3246.2000000000003,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0,2,0,3,1,1,1,8,3241.9,3254.5,3249.4,-7,-6,138.70000000000002,326.0,326.0,48.7,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,65.0625,84.4375,66.125,84.5,0.4375,3.5,0.17578125,10.0,0,0,0,0.0,1,1,1,1,1,1,0,0,3,2,0,5,2,255,0,0,0,0,0,0,8,2.7,3,2008
2025-02-25 09:08:28,0x191CFF71,True,can0,8,39.7473615,30.474902333333333,821.2,5.84,-4.32,0,user1,t_0,01:00,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,161,168,38,-7,48.75,161,206,No Fault,0,110,110,-6.025634765625,8.0,61,0,1060.7,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,2,D_Posiiton,0,10.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,10.0,701,24,161,24,42.53,40.71,1387,2456.2000000000003,5099.900000000001,-8.200000000000001,3236.4,3245.2000000000003,3244.2000000000003,3246.0,3244.4,3242.3,3248.5,3249.6000000000004,3248.6000000000004,3240.7000000000003,0.0,55.1,3242.7000000000003,3245.8,3246.4,3245.0,3240.8,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0,2,0,3,1,1,1,8,3236.4,3249.6000000000004,3244.4,-7,-6,138.70000000000002,326.0,326.0,48.7,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,65.625,80.25,66.125,79.6875,0.375,4.375,0.21875,10.0,0,0,0,0.0,2,2,2,2,2,2,0,0,3,3,0,5,3,255,0,0,0,0,0,0,8,2.7,3,2008
2025-02-25 09:08:29,0x191CFF71,True,can0,8,39.7473795,30.474899833333332,820.8,6.24,-4.32,2,user1,t_0,01:00,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,5,12,38,-7,48.6875,5,49,No Fault,0,115,115,18.74371337890625,9.0,61,0,1060.7,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,2,D_Posiiton,0,11.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,11.0,780,30,5,226,42.53,40.71,1387,2451.3,5099.400000000001,-9.3,3232.2000000000003,3240.8,3241.0,3241.0,3239.7000000000003,3240.2000000000003,3245.4,3245.8,3245.5,3235.5,0.0,55.1,3238.9,3241.6000000000004,3243.1000000000004,3240.0,3236.2000000000003,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0,2,0,3,1,1,1,8,3232.2000000000003,3245.8,3240.4,-7,-6,138.70000000000002,326.0,326.0,48.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,65.75,79.8125,66.125,79.6875,0.375,4.625,0.234375,10.0,0,0,0,0.0,3,3,3,3,3,3,0,0,3,3,0,5,4,255,0,0,0,0,0,0,8,2.7,3,2008
2025-02-25 09:08:30,0x191171FA,True,can0,8,39.74739833333334,30.4748985,820.3,6.24,-4.32,4,user1,t_0,01:00,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,89,96,39,-7,48.5625,89,132,No Fault,0,119,119,41.96961975097656,10.0,61,0,1060.7,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,2,D_Posiiton,0,14.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,14.0,875,40,90,208,42.53,40.71,1387,2403.9,5099.200000000001,-20.900000000000002,3213.9,3223.4,3223.5,3224.5,3223.5,3222.7000000000003,3228.9,3229.3,3229.0,3219.1000000000004,0.0,55.1,3221.3,3223.7000000000003,3225.9,3223.0,3219.6000000000004,0.0,0.0,0.1,0.2,0.1,0.1,0.1,0,2,0,3,1,1,1,8,3213.9,3229.3,3223.4,-7,-6,138.70000000000002,326.0,326.0,48.400000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,76.5,103.25,75.4375,103.4375,0.625,5.5625,0.26953125,14.0,0,0,0,0.0,4,4,4,3,3,3,0,0,3,3,0,5,4,255,0,0,0,0,0,0,8,2.7,3,2008
2025-02-25 09:08:31,0x00000401,False,can0,3,39.74742066666666,30.4748975,819.9,6.02,-4.32,2,user1,t_0,01:00,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,205,212,39,-7,48.375,205,245,No Fault,0,125,125,78.51307678222656,11.5,61,0,1060.7,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,2,D_Posiiton,0,14.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,14.0,1011,45,205,208,42.53,40.71,1387,2383.9,5100.1,-25.8,3206.1000000000004,3214.8,3215.5,3217.0,3216.0,3218.1000000000004,3222.6000000000004,3221.9,3221.5,3211.6000000000004,0.0,55.1,3214.1000000000004,3215.9,3218.4,3215.5,3212.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0,2,0,3,1,1,1,7,3206.1000000000004,3222.6000000000004,3216.0,-7,-6,138.70000000000002,326.0,326.0,48.2,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,71.75,96.125,73.125,96.9375,0.5,6.0625,0.30859375,13.0,0,0,0,0.0,4,4,4,4,4,4,0,0,3,3,0,5,5,255,0,0,0,0,0,0,8,2.7,3,2008
2025-02-25 09:08:32,0x191CFF71,True,can0,8,39.747445166666665,30.47489716666667,819.9,6.02,-4.32,2,user1,t_0,01:00,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,49,56,39,-7,48.25,49,87,No Fault,0,130,130,114.27479553222656,13.0,61,0,1060.7,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,2,D_Posiiton,0,14.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,14.0,1129,49,49,175,42.52,40.7,1386,2376.9,5099.0,-27.6,3198.0,3206.1000000000004,3206.9,3208.7000000000003,3205.2000000000003,3211.2000000000003,3214.8,3213.2000000000003,3213.3,3203.3,0.0,55.1,3205.9,3206.7000000000003,3209.8,3207.2000000000003,3201.2000000000003,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0,2,0,3,1,1,1,7,3198.0,3214.8,3207.4,-7,-6,138.6,326.0,326.0,48.1,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,75.1875,102.6875,75.4375,101.375,0.125,7.1875,0.36328125,14.0,0,0,0,0.0,5,5,5,5,5,5,0,0,3,3,0,5,5,255,0,0,0,0,0,0,8,2.7,3,2008
2025-02-25 09:08:33,0x191CFF71,True,can0,8,39.74747133333334,30.474896333333334,819.9,6.24,-4.28,2,user1,t_0,01:00,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,149,156,39,-7,48.25,149,187,No Fault,0,135,135,153.7880096435547,14.0,61,0,1060.7,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,2,D_Posiiton,0,10.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,10.0,1222,37,149,36,42.52,40.7,1386,2401.5,5098.5,-21.5,3206.7000000000003,3214.3,3214.9,3216.9,3213.2000000000003,3218.2000000000003,3222.3,3221.0,3220.7000000000003,3211.6000000000004,0.0,55.1,3214.2000000000003,3215.3,3217.7000000000003,3215.4,3209.1000000000004,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0,2,0,3,1,1,1,7,3206.7000000000003,3222.3,3215.4,-7,-6,138.6,326.0,326.0,48.2,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,70.0,83.6875,68.5,83.6875,0.5,7.0,0.35546875,11.0,0,0,0,0.0,5,5,5,5,5,5,0,0,3,3,0,5,6,255,0,0,0,0,0,0,8,2.7,3,2008
2025-02-25 09:08:34,0x191CFF71,True,can0,8,39.74750133333333,30.474894833333334,819.7,6.24,-4.28,0,user1,t_0,01:00,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,249,176,39,-7,48.375,249,33,No Fault,0,140,140,195.51895141601562,14.5,61,0,1060.7,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,41,2,D_Posiiton,0,9.0,5,75.0,0,0,-400.0,4700,-1100,0,0,154,0,0.0,0,0,9.0,1278,34,249,173,42.52,40.7,1386,2447.4,5099.1,-10.200000000000001,3224.0,3231.3,3231.5,3233.4,3230.8,3236.1000000000004,3237.7000000000003,3236.9,3236.3,3227.9,0.2,55.1,3230.9,3232.3,3233.7000000000003,3232.0,3227.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0,2,0,3,1,1,1,7,3224.0,3237.7000000000003,3232.1000000000004,-7,-6,138.6,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,154.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,57.6875,72.9375,57.3125,73.8125,0.3125,6.125,0.30859375,8.0,0,0,0,0.0,4,4,4,4,4,4,0,0,3,3,0,5,5,255,0,0,0,0,0,0,8,2.7,3,2008
