Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,Encoder_pos,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Mode_Control,Pre_charge_Status,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,vehicle_speed,range,Throtle_Pedal,Odometer,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,FaultCode,FaultData,SEQ_Fault,CS_Fault,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors,Timer,Severity,Error_Code
2025-02-25 10:36:56,0x191CFF71,True,can0,8,39.74771,30.474875833333332,821.9,15.59,-0.34,2,user1,t_0,00:28,100,False,['1000 km bakımı: Servise gidin.'],30617.33106994629,6.0,970,19,210,18,68.0,-68.0,Enabled,0,210,217,54,25,48.125,210,38,28.87,26.64,941,2474.3,5098.0,-3.6,3206.8,3210.7000000000003,3211.6000000000004,3212.3,3210.9,3212.4,3213.7000000000003,3214.1000000000004,3214.0,3208.4,0.1,55.1,3214.7000000000003,3215.7000000000003,3216.6000000000004,3214.0,3211.5,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0,2,0,2,1,1,2,3,3206.8,3216.6000000000004,3212.4,-2,-2,94.10000000000001,326.0,326.0,48.2,225.9,225.9,Load_Mode,Not_PreCharge,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,180.0,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,OFF,OFF,No error,ON,27,2,D_Posiiton,0,11.0,39,0,1074.9,6.0,5,75.0,0,0,-400.0,4700,-1100,0,0,180,0,0.0,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,112,112,49.25,57.0,48.4375,58.1875,0.125,4.9375,0.25,6.0,0,0,0,0.0,20,20,20,19,19,19,24,0,28,23,13,15,4,255,0,0,0,0,0,0,27,1.2000000000000002,3,2008
2025-02-25 10:36:57,0x1918FF71,True,can0,8,39.747685833333335,30.474877333333332,821.8,15.59,-0.34,2,user1,t_0,00:28,100,False,['1000 km bakımı: Servise gidin.'],30639.071044921875,24.0,1014,84,22,228,68.0,-68.0,Enabled,0,21,28,55,24,47.3125,21,91,28.87,26.64,941,2290.2000000000003,5097.700000000001,-48.6,3170.1000000000004,3173.4,3173.1000000000004,3175.9,3173.6000000000004,3176.6000000000004,3179.2000000000003,3177.7000000000003,3177.1000000000004,3172.1000000000004,0.1,55.1,3179.9,3178.5,3179.9,3177.9,3174.6000000000004,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0,2,0,2,1,1,2,1,3170.1000000000004,3179.9,3175.9,-2,-2,94.10000000000001,326.0,326.0,47.6,225.9,225.9,Load_Mode,Not_PreCharge,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,180.0,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,OFF,OFF,No error,ON,27,3,D_Posiiton,0,11.5,39,0,1074.9,25.0,5,75.0,0,0,-400.0,4700,-1100,0,0,180,0,0.0,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,116,116,94.5,162.5625,95.25,160.9375,-0.3125,7.625,0.39453125,23.0,0,0,0,0.0,21,21,21,20,20,20,25,0,28,23,13,15,5,255,0,0,0,0,0,0,8,1.2000000000000002,3,2008
2025-02-25 10:36:58,0x191CFF71,True,can0,8,39.747661,30.474878166666667,820.9,14.4,-0.34,6,user1,t_0,00:28,100,False,['1000 km bakımı: Servise gidin.'],30689.41015625,33.0,1382,152,147,168,68.0,-68.0,Enabled,0,147,154,55,24,46.1875,147,199,28.86,26.63,941,2004.9,5097.1,-118.5,3098.6000000000004,3101.5,3099.0,3103.9,3099.2000000000003,3098.7000000000003,3108.7000000000003,3107.2000000000003,3105.3,3100.6000000000004,0.1,55.1,3110.9,3107.3,3108.8,3106.3,3101.3,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0,2,0,2,1,1,2,1,3098.6000000000004,3110.9,3103.8,-2,-2,94.10000000000001,326.0,326.0,46.6,225.9,225.9,Load_Mode,Not_PreCharge,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,180.0,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,OFF,OFF,No error,ON,27,3,D_Posiiton,0,16.0,39,0,1075.0,33.0,5,75.0,0,0,-400.0,4700,-1100,0,0,180,0,0.0,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,122,122,117.625,201.875,115.375,207.8125,-1.375,12.0,0.62890625,34.0,0,0,0,0.0,26,26,26,25,25,25,24,0,28,24,13,15,10,255,0,0,0,0,0,0,8,1.2000000000000002,3,2008
2025-02-25 10:36:59,0x191CFF71,True,can0,8,39.74762883333333,30.4748785,820.9,14.4,-0.34,7,user1,t_0,00:28,100,False,['1000 km bakımı: Servise gidin.'],30745.431640625,24.0,1678,124,254,143,65.125,-65.125,Enabled,2,254,7,55,25,46.4375,254,55,28.85,26.62,941,2063.5,5096.400000000001,-104.10000000000001,3106.5,3107.6000000000004,3102.5,3107.9,3106.7000000000003,3113.3,3117.0,3113.7000000000003,3108.8,3104.8,0.1,55.1,3118.9,3114.0,3113.0,3110.3,3108.5,0.1,0.0,0.0,0.2,0.1,0.0,0.1,0,2,0,2,1,3,2,1,3102.5,3118.9,3110.2000000000003,-2,-2,94.10000000000001,326.0,326.0,46.7,225.9,225.9,Load_Mode,Not_PreCharge,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.9,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,OFF,OFF,No error,ON,27,3,D_Posiiton,0,19.5,39,0,1075.0,24.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,127,127,103.5625,160.375,101.125,162.9375,-1.0625,12.5,0.66015625,26.0,0,0,0,0.0,28,28,28,27,27,27,24,0,29,24,13,15,12,255,0,0,0,0,0,0,8,1.2000000000000002,3,2008
2025-02-25 10:37:00,0x00000203,False,can0,8,39.747590833333334,30.474879333333334,820.3,15.67,-0.34,7,user1,t_0,00:28,100,False,['1000 km bakımı: Servise gidin.'],30804.920288085938,18.0,1866,101,98,57,57.5,-57.5,Enabled,2,98,107,55,25,46.8125,98,161,28.84,26.61,940,2140.9,5096.8,-85.10000000000001,3118.9,3123.2000000000003,3120.6000000000004,3124.8,3122.5,3118.9,3128.4,3127.8,3126.4,3121.1000000000004,0.1,55.1,3130.7000000000003,3128.7000000000003,3129.6000000000004,3126.7000000000003,3124.2000000000003,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0,2,0,2,1,1,2,1,3118.9,3130.7000000000003,3124.8,-2,-2,94.0,326.0,326.0,46.900000000000006,225.9,225.9,Load_Mode,Not_PreCharge,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.70000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,OFF,OFF,No error,ON,27,2,D_Posiiton,0,21.5,39,0,1075.0,18.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,132,132,85.9375,126.0,87.0625,127.5,-0.8125,13.125,0.69140625,19.0,0,0,0,0.0,27,27,27,26,26,26,24,0,29,25,13,15,12,255,0,0,0,0,0,0,8,1.2000000000000002,3,2008
2025-02-25 10:37:01,0x191CFF71,True,can0,8,39.74754766666667,30.474879833333333,819.8,15.67,-0.34,6,user1,t_0,00:28,100,False,['1000 km bakımı: Servise gidin.'],30869.417556762695,15.0,1979,86,198,206,52.1875,-52.1875,Enabled,2,198,207,55,25,46.6875,198,3,28.830000000000002,26.6,940,2214.2000000000003,5097.400000000001,-67.2,3130.5,3135.7000000000003,3135.9,3140.0,3134.6000000000004,3124.0,3139.0,3141.3,3141.0,3136.8,0.1,55.1,3141.7000000000003,3141.9,3144.1000000000004,3141.9,3136.3,0.0,0.0,0.0,0.2,0.1,0.1,0.1,0,2,0,2,1,6,2,3,3124.0,3144.1000000000004,3137.6000000000004,-2,-2,94.0,326.0,326.0,47.1,225.9,225.9,Load_Mode,Not_PreCharge,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.70000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,OFF,OFF,No error,ON,27,2,D_Posiiton,0,23.0,39,0,1075.0,15.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,137,137,89.25,114.625,80.0625,112.125,-1.625,13.0625,0.6875,16.0,0,0,0,0.0,25,25,25,25,25,25,24,0,29,25,13,15,10,255,0,0,0,0,0,0,8,1.2000000000000002,3,2008
2025-02-25 10:37:02,0x191CFF71,True,can0,8,39.7475,30.4748785,819.6,15.51,-0.34,6,user1,t_0,00:28,100,False,['1000 km bakımı: Servise gidin.'],30936.832946777344,12.0,2052,72,42,62,49.75,-49.75,Enabled,2,42,51,55,25,46.9375,42,107,28.830000000000002,26.6,940,2246.8,5096.700000000001,-59.1,3138.0,3144.1000000000004,3141.7000000000003,3142.4,3141.6000000000004,3140.9,3147.1000000000004,3148.1000000000004,3146.6000000000004,3138.8,0.1,55.1,3149.0,3149.2000000000003,3149.6000000000004,3144.3,3142.8,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0,2,0,2,1,1,2,3,3138.0,3149.6000000000004,3144.2000000000003,-2,-2,94.0,326.0,326.0,47.2,225.9,225.9,Load_Mode,Not_PreCharge,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.70000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,OFF,OFF,No error,ON,27,2,D_Posiiton,0,24.0,39,0,1075.0,11.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,142,142,76.9375,99.1875,73.125,95.8125,-0.5625,12.625,0.65625,13.0,0,0,0,0.0,24,24,24,24,24,24,25,0,29,25,13,15,9,255,0,0,0,0,0,0,8,1.2000000000000002,3,2008
2025-02-25 10:37:03,0x191071FA,True,can0,8,39.747450666666666,30.474879166666668,818.8,15.51,-0.34,4,user1,t_0,00:28,100,35 saat 20 dakika,['1000 km bakımı: Servise gidin.'],31005.321716308594,3.0,2029,1,142,131,50.0625,-50.0625,Enabled,0,142,149,55,24,48.125,142,226,28.82,26.59,940,2515.6000000000004,5097.8,6.7,3199.5,3203.4,3204.2000000000003,3204.6000000000004,3203.1000000000004,3205.3,3206.0,3207.0,3206.7000000000003,3200.8,0.1,55.1,3207.6000000000004,3209.0,3209.2000000000003,3206.0,3203.4,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0,2,0,2,1,1,2,3,3199.5,3209.2000000000003,3205.0,-2,-2,94.0,326.0,326.0,48.1,225.9,225.9,Load_Mode,Not_PreCharge,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.60000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,OFF,OFF,No error,ON,27,0,D_Posiiton,0,23.5,39,0,1075.0,3.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,147,147,41.9375,41.125,39.5625,40.0625,-0.0625,8.875,0.453125,4.0,0,0,0,0.0,22,22,22,22,22,22,25,0,29,25,13,15,7,255,0,0,0,0,0,0,8,1.2000000000000002,3,2008
2025-02-25 10:37:04,0x191AFF71,True,can0,8,39.74739916666667,30.474877833333334,818.6,15.41,-0.34,2,user1,t_0,00:28,100,21 saat 5 dakika,['1000 km bakımı: Servise gidin.'],31060.798919677734,3.0,1945,1,228,133,54.125,-54.125,Enabled,0,228,235,55,25,48.1875,228,58,28.82,26.59,940,2534.3,5097.700000000001,11.200000000000001,3211.3,3215.1000000000004,3216.1000000000004,3216.2000000000003,3214.7000000000003,3217.1000000000004,3217.5,3218.5,3218.1000000000004,3212.4,0.1,55.1,3218.8,3220.6000000000004,3220.6000000000004,3217.6000000000004,3215.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0,2,0,2,1,1,2,2,3211.3,3220.6000000000004,3216.6000000000004,-2,-2,94.0,326.0,326.0,48.2,225.9,225.9,Load_Mode,Not_PreCharge,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.60000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,OFF,OFF,No error,ON,27,0,D_Posiiton,0,22.5,39,0,1075.0,3.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,152,152,21.9375,1.1875,21.8125,31.375,1.125,3.9375,0.20703125,3.0,0,0,0,0.0,20,20,20,20,20,20,24,0,29,25,13,15,4,255,0,0,0,0,0,0,8,1.2000000000000002,3,2008
2025-02-25 10:37:05,0x00000A00,True,can0,8,39.74734933333333,30.474877166666666,818.8,15.41,-0.34,0,user1,t_0,00:28,100,20 saat 51 dakika,['1000 km bakımı: Servise gidin.'],31124.41912841797,3.0,1809,1,72,97,59.875,-59.875,Enabled,0,72,79,55,24,48.3125,72,159,28.82,26.59,940,2534.5,5098.5,11.3,3215.1000000000004,3218.9,3219.8,3220.1000000000004,3218.6000000000004,3220.4,3221.1000000000004,3222.0,3221.7000000000003,3216.2000000000003,0.1,55.1,3222.2000000000003,3224.0,3224.0,3221.3,3218.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0,2,0,2,1,1,2,2,3215.1000000000004,3224.0,3220.2000000000003,-2,-2,94.0,326.0,326.0,48.300000000000004,225.9,225.9,Load_Mode,Not_PreCharge,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.60000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,OFF,OFF,No error,ON,27,0,D_Posiiton,0,21.0,39,0,1075.0,3.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,157,157,22.0625,-1.125,21.8125,31.375,1.0625,3.875,0.203125,3.0,0,0,0,0.0,19,19,19,18,18,18,25,0,29,24,13,16,3,255,0,0,0,0,0,0,8,1.2000000000000002,3,2008
