Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,Encoder_pos,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,FaultCode,FaultData,SEQ_Fault,CS_Fault,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,Mode_Control,Pre_charge_Status,vehicle_speed,range,Throtle_Pedal,Odometer,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors,Timer,Severity,Error_Code
2025-02-25 11:00:15,0x1919FF71,True,can0,8,39.74770933333333,30.474869833333333,813.4,18.24,0.81,2,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,86,93,58,33,47.8125,85,175,-26695.636688232422,12.0,966,39,86,6,No Fault,0,196,196,OFF,OFF,OFF,OFF,OFF,No error,ON,22,2,D_Posiiton,0,Load_Mode,Not_PreCharge,11.0,32,0,1081.2,12.0,5,75.0,0,0,-400.0,4700,-1100,0,0,143,0,0.0,0,0,66.3125,87.625,68.5,87.4375,0.0625,6.125,0.31640625,11.0,0,0,0,0.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,24.26,21.89,791,2432.9,5097.6,-13.700000000000001,3193.8,3197.3,3198.1000000000004,3198.8,3197.6000000000004,3197.4,3200.0,3200.3,3200.7000000000003,3195.2000000000003,0.0,55.1,3202.7000000000003,3202.9,3204.1000000000004,3201.0,3199.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0,2,0,3,1,1,2,3,3193.8,3204.1000000000004,3199.2000000000003,-1,0,79.10000000000001,326.0,326.0,48.0,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,143.5,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,23,23,23,23,23,23,33,0,34,27,19,19,4,255,0,0,0,0,0,0,79,1.3,3,2009
2025-02-25 11:00:16,0x00000A13,True,can0,8,39.74768666666667,30.474871833333335,813.0,18.33,0.81,4,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,173,180,58,33,46.9375,172,248,-26665.451110839844,27.0,1116,102,173,36,No Fault,0,200,200,OFF,OFF,OFF,OFF,OFF,No error,ON,22,3,D_Posiiton,0,Load_Mode,Not_PreCharge,12.5,32,0,1081.2,27.0,5,75.0,0,0,-400.0,4700,-1100,0,0,143,0,0.0,0,0,103.875,173.6875,103.0625,175.0,-0.875,9.0625,0.4765625,27.0,0,0,0,0.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,24.25,21.88,791,2174.9,5097.200000000001,-76.9,3142.6000000000004,3145.8,3146.6000000000004,3148.1000000000004,3147.1000000000004,3144.3,3150.9,3149.9,3150.8,3144.8,0.0,55.1,3154.1000000000004,3152.2000000000003,3155.1000000000004,3151.2000000000003,3149.5,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0,2,0,3,1,1,2,3,3142.6000000000004,3155.1000000000004,3148.8,-1,0,79.10000000000001,326.0,326.0,47.2,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,143.4,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,25,25,25,25,25,25,33,0,34,27,19,19,4,255,0,0,0,0,0,0,79,1.3,3,2009
2025-02-25 11:00:17,0x1918FF71,True,can0,8,39.7476575,30.474874,813.5,18.33,0.81,7,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,31,38,58,33,46.5625,31,101,-26617.16845703125,27.0,1415,123,32,216,No Fault,0,206,206,OFF,OFF,OFF,OFF,OFF,No error,ON,22,3,D_Posiiton,0,Load_Mode,Not_PreCharge,16.0,32,0,1081.2,27.0,5,75.0,0,0,-400.0,4700,-1100,0,0,143,0,0.0,0,0,95.6875,174.0,103.0625,170.4375,-0.5625,10.9375,0.578125,27.0,0,0,0,0.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,24.240000000000002,21.87,791,2102.4,5097.200000000001,-94.5,3119.7000000000003,3121.5,3123.0,3125.3,3122.2000000000003,3119.3,3127.7000000000003,3126.4,3127.6000000000004,3122.2000000000003,0.0,55.1,3132.1000000000004,3128.6000000000004,3132.3,3128.6000000000004,3124.9,0.0,0.1,0.0,0.0,0.1,0.2,0.1,0,2,0,3,1,6,2,3,3119.3,3132.3,3125.4,-1,0,79.10000000000001,326.0,326.0,46.900000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,143.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,29,29,29,28,28,28,33,0,34,28,19,19,9,255,0,0,0,0,0,0,79,1.3,3,2009
2025-02-25 11:00:18,0x1918FF71,True,can0,8,39.747622,30.474874833333335,814.1,18.14,0.81,7,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],66.375,-66.375,Enabled,2,107,116,59,33,46.3125,107,174,-26578.495712280273,27.0,1630,139,108,12,No Fault,0,210,210,OFF,OFF,OFF,OFF,OFF,No error,ON,22,3,D_Posiiton,0,Load_Mode,Not_PreCharge,18.5,32,0,1081.2,27.0,5,75.0,0,0,-400.0,4700,-1100,0,0,143,0,0.0,0,0,102.0,169.6875,103.0625,170.4375,-1.0625,12.875,0.68359375,27.0,0,0,0,0.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,24.240000000000002,21.87,790,2040.2,5096.900000000001,-109.80000000000001,3105.1000000000004,3107.4,3107.2000000000003,3108.5,3106.6000000000004,3105.9,3112.7000000000003,3112.1000000000004,3112.1000000000004,3105.7000000000003,0.1,55.1,3118.2000000000003,3114.8,3117.3,3112.1000000000004,3109.8,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0,2,0,2,1,1,2,1,3105.1000000000004,3118.2000000000003,3110.3,-1,-1,79.0,326.0,326.0,46.7,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,143.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,30,30,30,30,30,30,33,0,34,28,19,19,11,255,0,0,0,0,0,0,88,1.3,3,2009
2025-02-25 11:00:19,0x1918FF71,True,can0,8,39.747583,30.474875,814.1,18.14,0.81,7,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],53.0,-53.0,Enabled,2,231,240,59,33,45.8125,231,34,-26503.823181152344,26.0,1965,157,232,218,No Fault,0,216,216,OFF,OFF,OFF,OFF,OFF,No error,ON,22,3,D_Posiiton,0,Load_Mode,Not_PreCharge,22.5,32,0,1081.3,26.0,5,75.0,0,0,-400.0,4700,-1100,0,0,143,0,0.0,0,0,104.875,166.6875,101.125,164.875,-1.625,14.8125,0.79296875,26.0,0,0,0,0.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,24.22,21.85,790,1957.4,5095.900000000001,-130.0,3086.8,3090.2000000000003,3089.5,3092.3,3088.7000000000003,3085.6000000000004,3093.2000000000003,3094.7000000000003,3095.1000000000004,3089.8,0.1,55.1,3100.1000000000004,3097.5,3100.3,3096.0,3092.4,0.0,0.0,0.1,0.0,0.2,0.2,0.2,0,2,0,3,1,6,2,3,3085.6000000000004,3100.3,3092.8,-1,0,79.0,326.0,326.0,46.400000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,143.1,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,31,31,31,31,31,31,33,0,35,29,19,19,12,255,0,0,0,1,0,1,80,0.2,3,2009
2025-02-25 11:00:20,0x1918FF71,True,can0,8,39.7475385,30.474876833333333,813.7,18.14,0.81,7,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],44.125,-44.125,Enabled,2,75,84,59,33,45.875,75,135,-26434.5945892334,22.0,2172,143,76,192,No Fault,0,221,221,OFF,OFF,OFF,OFF,OFF,No error,ON,22,3,D_Posiiton,0,Load_Mode,Not_PreCharge,25.0,32,0,1081.3,22.0,5,75.0,0,0,-400.0,4700,-1100,0,0,142,0,0.0,0,0,92.8125,148.8125,95.25,148.875,-1.4375,15.625,0.8359375,23.0,0,0,0,0.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,24.21,21.84,789,2031.8000000000002,5096.700000000001,-111.80000000000001,3086.9,3088.8,3084.1000000000004,3088.3,3087.9,3091.3,3095.2000000000003,3092.5,3090.2000000000003,3085.4,0.1,55.1,3100.8,3096.2000000000003,3096.3,3091.7000000000003,3091.5,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0,2,0,2,1,3,2,1,3084.1000000000004,3100.8,3091.1000000000004,-1,-1,78.9,326.0,326.0,46.400000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,142.9,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,32,32,32,31,31,31,33,0,35,29,19,19,12,255,0,0,0,1,0,1,80,1.2000000000000002,3,2009
2025-02-25 11:00:21,0x1918FF71,True,can0,8,39.74748666666667,30.474876833333333,813.6,18.14,0.81,6,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],38.0625,-38.0625,Enabled,2,175,184,59,33,46.1875,175,240,-26359.16390991211,16.0,2325,106,176,57,No Fault,0,226,226,OFF,OFF,OFF,OFF,OFF,No error,ON,22,2,D_Posiiton,0,Load_Mode,Not_PreCharge,27.0,32,0,1081.3,16.0,5,75.0,0,0,-400.0,4700,-1100,0,0,142,0,0.0,0,0,72.5625,108.75,80.0625,111.375,-1.3125,15.8125,0.83984375,16.0,0,0,0,0.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,24.2,21.830000000000002,789,2158.5,5096.8,-80.80000000000001,3105.5,3108.9,3108.8,3113.5,3110.4,3104.2000000000003,3112.5,3114.2000000000003,3114.0,3110.8,0.0,55.1,3118.8,3117.3,3119.6000000000004,3116.7000000000003,3113.7000000000003,0.0,0.1,0.1,0.2,0.1,0.2,0.2,0,2,0,2,1,6,2,3,3104.2000000000003,3119.6000000000004,3112.5,-1,-1,78.9,326.0,326.0,46.7,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,142.9,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,31,31,31,30,30,30,33,0,35,30,19,19,11,255,0,0,0,0,0,0,80,1.3,3,2009
2025-02-25 11:00:22,0x1919FF71,True,can0,8,39.747431666666664,30.474872833333333,813.0,18.16,0.81,6,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],35.625,-35.625,Enabled,2,20,29,59,33,46.75,19,93,-26280.19956970215,9.0,2389,61,20,63,No Fault,0,231,231,OFF,OFF,OFF,OFF,OFF,No error,ON,22,2,D_Posiiton,0,Load_Mode,Not_PreCharge,27.5,32,0,1081.3,9.0,5,75.0,0,0,-400.0,4700,-1100,0,0,142,0,0.0,0,0,81.4375,93.125,73.125,94.0625,-1.75,15.6875,0.79296875,13.0,0,0,0,0.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,24.19,21.82,789,2228.9,5097.1,-63.5,3128.1000000000004,3131.0,3128.5,3130.3,3128.4,3125.2000000000003,3134.9,3134.9,3133.1000000000004,3127.5,0.0,55.1,3140.4,3138.2000000000003,3138.5,3133.3,3131.3,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0,2,0,2,1,6,2,1,3125.2000000000003,3140.4,3132.2000000000003,-1,-1,78.9,326.0,326.0,47.0,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,142.8,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,29,29,29,29,29,29,33,0,35,30,19,19,9,255,0,0,0,0,0,0,80,1.3,3,2009
2025-02-25 11:00:23,0x1919FF71,True,can0,8,39.74736733333334,30.47486766666667,814.0,18.16,0.81,-4,user1,t_0,00:24,100,16 saat 12 dakika,['1000 km bakımı: Servise gidin.'],44.4375,-44.4375,Enabled,2,120,129,58,33,48.0625,119,214,-26202.88491821289,-1.0,2187,-2,120,247,No Fault,0,236,236,OFF,OFF,OFF,OFF,OFF,No error,ON,22,1,D_Posiiton,0,Load_Mode,Not_PreCharge,25.5,32,0,1081.3,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,142,0,0.0,0,0,26.75,-15.0,26.25,-17.9375,2.125,5.125,0.28125,-1.0,0,0,0,0.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,24.19,21.82,789,2552.6000000000004,5097.0,15.600000000000001,3200.7000000000003,3203.3,3204.4,3204.7000000000003,3203.1000000000004,3205.9,3205.5,3206.7000000000003,3206.3,3201.4,0.0,55.1,3208.9,3210.1000000000004,3210.2000000000003,3206.5,3204.2000000000003,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0,2,0,2,1,1,2,3,3200.7000000000003,3210.2000000000003,3205.4,-1,-1,78.9,326.0,326.0,48.1,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,142.8,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,26,26,26,26,26,26,33,0,35,30,19,19,8,255,0,0,0,0,0,0,88,1.3,3,2009
2025-02-25 11:00:24,0x1918FF71,True,can0,8,39.74730616666667,30.474862833333333,814.5,17.82,0.81,-10,user1,t_0,00:24,100,16 saat 4 dakika,['1000 km bakımı: Servise gidin.'],65.5,-65.5,Enabled,2,212,221,58,33,48.125,212,52,-26142.667694091797,-1.0,1694,-3,213,100,No Fault,0,241,241,OFF,OFF,OFF,OFF,OFF,No error,ON,22,1,D_Posiiton,0,Load_Mode,Not_PreCharge,20.0,32,0,1081.3,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,142,0,0.0,0,0,25.8125,-16.4375,26.25,-18.125,1.0,4.0625,0.2109375,-1.0,0,0,0,0.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,24.19,21.82,789,2553.1000000000004,5097.1,15.700000000000001,3207.2000000000003,3210.2000000000003,3211.3,3211.5,3210.1000000000004,3212.3,3212.1000000000004,3213.2000000000003,3213.0,3208.2000000000003,0.0,55.1,3215.2000000000003,3216.5,3216.8,3213.5,3211.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0,2,0,2,1,1,2,3,3207.2000000000003,3216.8,3212.1000000000004,-1,-1,78.9,326.0,326.0,48.2,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,142.8,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,24,24,24,24,24,24,33,0,35,29,19,20,5,255,0,0,0,1,0,1,81,0.2,3,2008
