Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,Encoder_pos,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,Mode_Control,Pre_charge_Status,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,vehicle_speed,range,Throtle_Pedal,Odometer,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,FaultCode,FaultData,SEQ_Fault,CS_Fault,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding,Timer,Severity,Error_Code
2025-02-25 11:04:54,0x191CFF71,True,can0,8,39.747567333333336,30.474864333333333,807.3,17.65,0.85,6,user1,0,00:24,100,False,['1000 km bakımı: Servise gidin.'],24.0,5,75.0,0,0,-400.0,4700,-1100,0,0,124,0,0.0,0,0,59,35,46.0625,67,132,-2608.5459594726562,24.0,1728,128,67,10,62.8125,-62.8125,Enabled,2,67,76,22.51,20.09,734,2052.8,5096.6,-106.7,3097.6000000000004,3100.5,3100.4,3102.3,3100.2000000000003,3093.2000000000003,3104.7000000000003,3105.0,3105.3,3099.6000000000004,0.0,55.1,3111.0,3108.6000000000004,3111.1000000000004,3106.0,3104.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0,2,0,3,1,6,2,3,3093.2000000000003,3111.1000000000004,3103.3,-1,0,73.4,326.0,326.0,46.5,225.9,225.9,1,3350.0,1,0,0,OFF,OFF,OFF,OFF,OFF,No error,ON,20,3,D_Posiiton,0,Load_Mode,Not_PreCharge,1,0,0,0,1,0,0,1,0,0.0,124.7,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,20.0,30,0,1083.3,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,54,54,90.9375,156.125,97.1875,153.75,-1.5625,13.0625,0.69921875,24.0,0,0,0,0.0,0,0,0,0,89,21,21,21,21,21,21,35,0,35,28,20,19,2,255,0,0,1.7000000000000002,3,2009
2025-02-25 11:04:55,0x191CFF71,True,can0,8,39.7475225,30.474861833333332,807.8,17.65,0.85,7,user1,0,00:24,100,False,['1000 km bakımı: Servise gidin.'],23.0,5,75.0,0,0,-400.0,4700,-1100,0,0,131,0,0.0,0,0,59,36,46.125,186,253,-2533.704803466797,23.0,1999,140,186,141,50.75,-50.75,Enabled,2,186,195,22.5,20.080000000000002,734,2025.9,5095.700000000001,-113.2,3086.6000000000004,3091.0,3089.3,3087.8,3085.3,3080.5,3092.9,3094.5,3094.4,3085.3,0.1,55.1,3100.2000000000003,3098.5,3100.3,3091.8,3089.3,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0,2,0,2,1,6,2,3,3080.5,3100.3,3091.1000000000004,0,0,73.4,326.0,326.0,46.400000000000006,225.9,225.9,1,3350.0,1,0,0,OFF,OFF,OFF,OFF,OFF,No error,ON,20,3,D_Posiiton,0,Load_Mode,Not_PreCharge,1,0,0,0,1,0,0,1,0,0.0,131.3,711479,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,23.0,30,0,1083.3,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,60,60,91.6875,150.5,95.25,148.8125,-2.25,15.1875,0.796875,23.0,0,0,0,0.0,0,0,0,0,88,30,30,30,30,30,30,36,0,35,29,20,19,11,255,0,0,1.7000000000000002,3,2009
2025-02-25 11:04:56,0x00000A0A,True,can0,8,39.74747033333333,30.4748615,808.8,17.8,0.85,6,user1,0,00:24,100,False,['1000 km bakımı: Servise gidin.'],3.0,5,75.0,0,0,-400.0,4700,-1100,0,0,131,0,0.0,0,0,58,36,47.4375,23,110,-2470.3890991210938,3.0,2084,22,23,137,48.375,-48.375,Enabled,2,23,32,22.490000000000002,20.07,733,2396.4,5096.1,-22.5,3147.7000000000003,3150.1000000000004,3150.6000000000004,3152.4,3149.0,3149.3,3154.0,3154.4,3154.4,3149.7000000000003,0.0,55.1,3159.0,3158.2000000000003,3159.8,3155.1000000000004,3151.7000000000003,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0,2,0,2,1,1,2,1,3134.8,3147.1000000000004,3140.4,0,0,73.3,326.0,326.0,47.1,225.9,225.9,1,3350.0,1,0,0,OFF,OFF,OFF,OFF,OFF,No error,ON,20,2,D_Posiiton,0,Load_Mode,Not_PreCharge,1,0,0,0,1,0,0,1,0,0.0,131.1,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,24.0,30,0,1083.3,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,65,65,70.375,72.125,66.1875,72.9375,-1.125,13.125,0.6640625,10.0,0,0,0,0.0,0,1,0,1,89,30,30,30,29,29,29,36,0,35,29,20,19,11,255,0,0,0.7000000000000001,3,2009
2025-02-25 11:04:57,0x191CFF71,True,can0,8,39.7474105,30.474861166666667,810.5,17.8,0.85,4,user1,0,00:24,100,24 saat 7 dakika,['1000 km bakımı: Servise gidin.'],0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,124,0,0.0,0,0,58,36,47.9375,130,225,-2397.6450805664062,0.0,1962,1,130,52,53.75,-53.75,Enabled,0,130,137,22.490000000000002,20.07,733,2532.3,5096.400000000001,10.8,3189.3,3191.9,3193.3,3193.6000000000004,3191.7000000000003,3194.0,3194.0,3195.5,3195.5,3190.4,0.0,55.1,3198.2000000000003,3199.3,3199.8,3195.6000000000004,3193.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0,2,0,3,1,1,2,3,3189.3,3199.8,3194.3,-1,0,73.3,326.0,326.0,47.900000000000006,225.9,225.9,1,3350.0,1,0,0,OFF,OFF,OFF,OFF,OFF,No error,ON,20,0,D_Posiiton,0,Load_Mode,Not_PreCharge,1,0,0,0,1,0,0,1,0,0.0,124.5,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,22.5,30,0,1083.3,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,70,70,20.875,1.25,21.8125,0.0,1.1875,4.0,0.21484375,0.0,0,0,0,0.0,0,1,0,1,89,26,26,26,25,25,25,35,0,35,29,20,19,8,255,0,0,1.7000000000000002,3,2009
2025-02-25 11:04:58,0x00000401,False,can0,3,39.747352166666666,30.474860333333332,812.1,17.66,0.85,2,user1,0,00:24,100,23 saat 12 dakika,['1000 km bakımı: Servise gidin.'],0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,124,0,0.0,0,0,59,36,48.0,230,72,-2334.6375885009766,0.0,1813,1,230,3,59.5,-59.5,Enabled,0,230,237,22.490000000000002,20.07,733,2534.0,5096.8,11.200000000000001,3194.5,3197.3,3198.5,3199.0,3197.1000000000004,3199.4,3199.4,3200.7000000000003,3200.5,3195.7000000000003,0.0,55.1,3203.1000000000004,3204.3,3204.7000000000003,3201.0,3198.4,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0,2,0,3,1,1,2,3,3194.5,3204.7000000000003,3199.5,-1,0,73.3,326.0,326.0,48.0,225.9,225.9,1,3350.0,1,0,0,OFF,OFF,OFF,OFF,OFF,No error,ON,20,0,D_Posiiton,0,Load_Mode,Not_PreCharge,1,0,0,0,1,0,0,1,0,0.0,124.5,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,21.0,30,0,1083.3,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,75,75,21.25,0.25,21.8125,0.0,1.0625,3.75,0.19921875,0.0,0,0,0,0.0,0,0,0,0,89,24,24,24,23,23,23,36,0,35,29,20,19,5,255,0,0,1.7000000000000002,3,2009
2025-02-25 11:04:59,0x191CFF71,True,can0,8,39.747304166666666,30.474856,812.1,17.66,0.85,-4,user1,0,00:24,100,23 saat 12 dakika,['1000 km bakımı: Servise gidin.'],0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,124,0,0.0,0,0,59,35,48.0,74,171,-2278.651596069336,0.0,1563,1,74,108,68.0,-68.0,Enabled,0,74,81,22.490000000000002,20.07,733,2534.3,5097.200000000001,11.200000000000001,3197.9,3200.8,3201.8,3202.2000000000003,3200.4,3202.4,3202.7000000000003,3203.9,3203.8,3198.7000000000003,0.0,55.1,3206.2000000000003,3207.5,3207.8,3204.2000000000003,3201.7000000000003,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0,2,0,3,1,1,2,3,3197.9,3207.8,3202.8,-1,0,73.3,326.0,326.0,48.0,225.9,225.9,1,3350.0,1,0,0,OFF,OFF,OFF,OFF,OFF,No error,ON,20,0,D_Posiiton,0,Load_Mode,Not_PreCharge,1,0,0,0,1,0,0,1,0,0.0,124.5,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,18.0,30,0,1083.3,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,80,80,21.6875,0.125,21.8125,0.0,0.9375,3.25,0.171875,0.0,0,0,0,0.0,0,0,0,0,89,22,22,22,22,22,22,35,0,35,29,20,19,3,255,0,0,1.7000000000000002,3,2009
2025-02-25 11:05:00,0x191CFF71,True,can0,8,39.7472615,30.4748495,812.2,17.67,0.85,-6,user1,0,00:24,100,22 saat 33 dakika,['1000 km bakımı: Servise gidin.'],0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,124,0,0.0,0,0,59,35,48.0625,174,16,-2231.4752044677734,0.0,1276,1,174,175,68.0,-68.0,Enabled,0,174,181,22.490000000000002,20.07,733,2535.4,5097.700000000001,11.5,3200.6000000000004,3203.4,3204.4,3204.8,3203.2000000000003,3205.1000000000004,3205.4,3206.5,3206.4,3201.4,0.0,55.1,3208.7000000000003,3209.9,3210.3,3206.8,3204.3,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0,2,0,3,1,1,2,3,3200.6000000000004,3210.3,3205.4,-1,0,73.3,326.0,326.0,48.1,225.9,225.9,1,3350.0,1,0,0,OFF,OFF,OFF,OFF,OFF,No error,ON,20,0,D_Posiiton,0,Load_Mode,Not_PreCharge,1,0,0,0,1,0,0,1,0,0.0,124.5,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,14.5,30,0,1083.3,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,85,85,20.625,0.0625,21.8125,0.0,0.875,2.75,0.1484375,0.0,0,0,0,0.0,0,0,0,0,89,22,22,22,21,21,21,35,0,35,28,20,19,2,255,0,0,1.7000000000000002,3,2009
2025-02-25 11:05:01,0x00000A0D,True,can0,8,39.747226833333336,30.474838833333333,812.4,17.67,0.85,-6,user1,0,00:24,100,22 saat 33 dakika,['1000 km bakımı: Servise gidin.'],0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,124,0,0.0,0,0,59,36,48.0625,11,110,-2196.3826751708984,0.0,1073,1,11,65,68.0,-68.0,Enabled,0,11,18,22.490000000000002,20.07,733,2535.6000000000004,5097.8,11.5,3202.5,3205.6000000000004,3206.6000000000004,3206.9,3205.2000000000003,3207.3,3207.6000000000004,3208.6000000000004,3208.4,3203.4,0.1,55.1,3210.7000000000003,3212.0,3212.4,3209.0,3206.6000000000004,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0,2,0,3,1,1,2,3,3202.5,3212.4,3207.5,-1,0,73.3,326.0,326.0,48.1,225.9,225.9,1,3350.0,1,0,0,OFF,OFF,OFF,OFF,OFF,No error,ON,20,0,D_Posiiton,0,Load_Mode,Not_PreCharge,1,0,0,0,1,0,0,1,0,0.0,124.5,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,12.5,30,0,1083.3,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,90,90,21.25,0.25,21.8125,0.0,0.75,2.1875,0.1171875,0.0,0,0,0,0.0,0,0,0,0,89,21,21,21,21,21,21,36,0,35,28,20,19,1,255,0,0,1.7000000000000002,3,2009
2025-02-25 11:05:02,0x191CFF71,True,can0,8,39.74719533333333,30.474834,812.9,18.25,0.85,-6,user1,0,00:24,100,False,['1000 km bakımı: Servise gidin.'],6.0,5,75.0,0,0,-400.0,4700,-1100,0,0,124,0,0.0,0,0,59,35,47.875,118,212,-2160.2386474609375,5.0,932,16,118,125,68.0,-68.0,Enabled,0,118,125,22.490000000000002,20.07,733,2482.8,5097.8,-1.3,3192.9,3195.8,3196.5,3197.3,3195.4,3197.5,3198.3,3199.0,3198.9,3193.9,0.0,55.1,3201.5,3202.2000000000003,3202.8,3199.5,3196.9,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0,2,0,3,1,1,2,3,3192.9,3202.8,3197.8,-1,0,73.3,326.0,326.0,48.0,225.9,225.9,1,3350.0,1,0,0,OFF,OFF,OFF,OFF,OFF,No error,ON,20,0,D_Posiiton,0,Load_Mode,Not_PreCharge,1,0,0,0,1,0,0,1,0,0.0,124.5,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,10.5,30,0,1083.3,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,95,95,38.3125,53.1875,39.5625,52.1875,0.125,3.75,0.19140625,4.0,0,0,0,0.0,0,0,0,0,89,21,21,21,21,21,21,36,0,35,28,20,19,1,255,0,0,1.7000000000000002,3,2009
2025-02-25 11:05:03,0x1918FF71,True,can0,8,39.747168,30.4748425,813.4,18.25,0.85,-6,user1,0,00:24,100,False,['1000 km bakımı: Servise gidin.'],7.0,5,75.0,0,0,-400.0,4700,-1100,0,0,131,0,0.0,0,0,59,36,47.875,218,57,-2131.058349609375,7.0,822,19,219,151,68.0,-68.0,Enabled,0,218,225,22.490000000000002,20.07,733,2471.3,5098.0,-4.2,3189.7000000000003,3192.8,3193.8,3194.3,3192.8,3194.1000000000004,3195.5,3196.2000000000003,3196.2000000000003,3190.9,0.0,55.1,3198.7000000000003,3199.3,3200.2000000000003,3196.7000000000003,3194.4,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0,2,0,2,1,1,2,3,3189.7000000000003,3200.2000000000003,3195.0,0,0,73.3,326.0,326.0,47.900000000000006,225.9,225.9,1,3350.0,1,0,0,OFF,OFF,OFF,OFF,OFF,No error,ON,20,2,D_Posiiton,0,Load_Mode,Not_PreCharge,1,0,0,0,1,0,0,1,0,0.0,131.1,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,9.5,30,0,1083.3,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,100,100,52.375,66.9375,52.875,66.5,-0.0625,4.625,0.234375,7.0,0,0,0,0.0,0,0,0,0,89,22,22,22,22,22,22,35,0,35,28,20,19,2,255,0,0,1.7000000000000002,3,2009
