Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,Encoder_pos,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,Mode_Control,Pre_charge_Status,vehicle_speed,range,Throtle_Pedal,Odometer,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,FaultCode,FaultData,SEQ_Fault,CS_Fault,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors,Timer,Severity,Error_Code
2025-02-25 11:05:16,0x1918FF71,True,can0,8,39.74732366666667,30.4749005,816.0,17.24,0.85,-2,user1,t_0,00:24,100,22 saat 5 dakika,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,238,245,58,36,48.25,238,83,-1800.187484741211,OFF,OFF,OFF,OFF,OFF,No error,ON,20,0,D_Posiiton,0,Load_Mode,Not_PreCharge,13.5,30,0,1083.3,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,124,0,0.0,0,0,-1.0,1176,1,239,140,22.47,20.05,733,2536.4,5097.900000000001,11.700000000000001,3213.2000000000003,3216.6000000000004,3217.4,3217.8,3216.3,3217.9,3218.3,3219.3,3219.2000000000003,3214.2000000000003,0.0,55.1,3220.9,3222.3,3222.7000000000003,3219.9,3217.5,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0,2,0,3,1,1,2,3,3213.2000000000003,3222.7000000000003,3218.2000000000003,-1,0,73.3,326.0,326.0,48.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,124.30000000000001,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,165,165,20.875,0.25,21.8125,0.0,0.8125,2.375,0.12890625,0.0,0,0,0,0.0,20,20,20,20,20,20,36,0,35,27,20,19,1,255,0,0,0,0,0,0,89,6.4,3,2008
2025-02-25 11:05:17,0x1919FF71,True,can0,8,39.747352666666664,30.474900333333334,816.2,17.24,0.85,2,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,83,90,59,36,46.9375,82,162,-1759.160903930664,OFF,OFF,OFF,OFF,OFF,No error,ON,20,3,D_Posiiton,0,Load_Mode,Not_PreCharge,15.0,30,0,1083.3,23.0,5,75.0,0,0,-400.0,4700,-1100,0,0,124,0,0.0,0,0,23.0,1320,101,83,86,22.47,20.05,733,2220.4,5097.3,-65.7,3152.8,3156.6000000000004,3157.0,3158.6000000000004,3157.0,3150.4,3160.2000000000003,3160.3,3160.7000000000003,3155.1000000000004,0.1,55.1,3163.8,3162.8,3165.2000000000003,3161.5,3159.7000000000003,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0,2,0,3,1,6,2,3,3150.4,3165.2000000000003,3158.7000000000003,-1,0,73.3,326.0,326.0,47.400000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,124.30000000000001,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,170,170,89.125,159.125,93.25,156.0625,-0.5625,9.5625,0.5,22.0,0,0,0,0.0,21,21,21,21,21,20,36,0,35,27,20,19,1,255,0,0,0,0,0,0,89,6.4,3,2008
2025-02-25 11:05:18,0x1919FF71,True,can0,8,39.74738333333333,30.4748995,816.3,17.69,0.85,4,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],67.4375,-67.4375,Enabled,2,183,192,59,36,46.4375,182,254,-1709.9173736572266,OFF,OFF,OFF,OFF,OFF,No error,ON,20,3,D_Posiiton,0,Load_Mode,Not_PreCharge,18.5,30,0,1083.3,24.0,5,75.0,0,0,-400.0,4700,-1100,0,0,130,0,0.0,0,0,24.0,1607,114,183,247,22.46,20.04,732,2132.5,5096.5,-87.2,3123.9,3129.1000000000004,3129.4,3129.8,3128.3,3119.5,3131.5,3132.5,3133.9,3126.4,0.1,55.1,3136.3,3135.6000000000004,3138.5,3133.0,3131.2000000000003,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0,2,0,2,1,6,2,3,3119.5,3138.5,3130.5,0,0,73.2,326.0,326.0,47.0,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,130.8,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,175,175,93.0,147.75,95.25,149.5625,-1.0,11.9375,0.6015625,23.0,0,0,0,0.0,25,25,25,25,25,25,36,0,35,27,20,19,5,255,0,0,0,0,0,0,89,6.4,3,2008
2025-02-25 11:05:19,0x1919FF71,True,can0,8,39.74742116666667,30.474898666666668,816.2,17.69,0.85,6,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],54.4375,-54.4375,Enabled,2,27,36,59,36,46.0,26,91,-1650.847885131836,OFF,OFF,OFF,OFF,OFF,No error,ON,20,3,D_Posiiton,0,Load_Mode,Not_PreCharge,22.0,30,0,1083.3,24.0,5,75.0,0,0,-400.0,4700,-1100,0,0,130,0,0.0,0,0,24.0,1908,140,27,163,22.45,20.03,732,2021.9,5097.400000000001,-114.30000000000001,3099.0,3101.9,3103.5,3109.5,3106.1000000000004,3099.7000000000003,3108.3,3107.4,3109.1000000000004,3106.4,0.0,55.1,3113.0,3110.2000000000003,3114.5,3112.6000000000004,3109.8,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0,2,0,2,1,1,2,3,3099.0,3114.5,3107.4,0,0,73.2,326.0,326.0,46.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,130.6,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,180,180,94.0,154.9375,97.1875,154.8125,-1.625,14.375,0.76953125,24.0,0,0,0,0.0,27,27,27,27,27,27,36,0,35,28,20,19,8,255,0,0,0,0,0,0,89,6.4,3,2008
2025-02-25 11:05:20,0x191AFF71,True,can0,8,39.74746533333333,30.474898333333332,816.4,17.67,0.85,6,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],44.1875,-44.1875,Enabled,2,127,136,59,36,46.1875,127,195,-1582.1720886230469,OFF,OFF,OFF,OFF,OFF,No error,ON,20,3,D_Posiiton,0,Load_Mode,Not_PreCharge,25.0,30,0,1083.4,20.0,5,75.0,0,0,-400.0,4700,-1100,0,0,130,0,0.0,0,0,20.0,2178,129,127,203,22.44,20.02,732,2051.7000000000003,5096.1,-106.9,3099.8,3100.1000000000004,3098.3,3105.0,3103.5,3106.7000000000003,3107.0,3105.2000000000003,3103.7000000000003,3102.1000000000004,0.0,55.1,3113.1000000000004,3108.5,3110.1000000000004,3108.4,3107.1000000000004,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0,2,0,2,1,3,2,1,3098.3,3113.1000000000004,3105.2000000000003,0,0,73.2,326.0,326.0,46.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,130.6,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,185,185,86.0,140.8125,91.3125,137.125,-1.125,14.875,0.79296875,21.0,0,0,0,0.0,29,29,29,28,28,28,36,0,35,28,20,19,9,255,0,0,0,1,0,1,90,0.9,3,2009
2025-02-25 11:05:21,0x00000201,False,can0,8,39.74751833333333,30.4748965,816.2,17.67,0.85,7,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],34.375,-34.375,Enabled,2,225,234,59,36,46.3125,225,39,-1506.768325805664,OFF,OFF,OFF,OFF,OFF,No error,ON,20,2,D_Posiiton,0,Load_Mode,Not_PreCharge,28.0,30,0,1083.4,18.0,5,75.0,0,0,-400.0,4700,-1100,0,0,130,0,0.0,0,0,18.0,2411,126,225,244,22.43,20.01,731,2058.6,5096.6,-105.2,3099.8,3100.6000000000004,3097.6000000000004,3103.1000000000004,3101.7000000000003,3105.2000000000003,3108.4,3105.5,3103.3,3100.2000000000003,0.0,55.1,3113.7000000000003,3109.1000000000004,3109.8,3106.2000000000003,3105.5,0.1,0.0,0.1,0.2,0.1,0.1,0.1,0,2,0,2,1,3,2,1,3097.6000000000004,3113.7000000000003,3104.6000000000004,0,0,73.10000000000001,326.0,326.0,46.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,130.4,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,190,190,88.0625,124.3125,84.75,122.6875,-1.8125,16.5625,0.8828125,18.0,0,0,0,0.0,28,28,28,28,28,28,36,0,35,28,20,19,9,255,0,0,0,1,0,1,90,1.9000000000000001,3,2009
2025-02-25 11:05:22,0x1919FF71,True,can0,8,39.747577666666665,30.474893833333333,816.0,17.82,0.85,7,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],31.0625,-31.0625,Enabled,2,71,80,59,36,45.875,70,133,-1421.3606567382812,OFF,OFF,OFF,OFF,OFF,No error,ON,20,2,D_Posiiton,0,Load_Mode,Not_PreCharge,30.0,30,0,1083.4,16.0,5,75.0,0,0,-400.0,4700,-1100,0,0,130,0,0.0,0,0,16.0,2600,123,71,245,22.42,20.0,731,2091.5,5096.900000000001,-97.10000000000001,3101.4,3104.8,3104.4,3106.1000000000004,3099.6000000000004,3087.4,3108.3,3109.0,3109.5,3103.7000000000003,0.1,55.1,3114.8,3112.9,3115.3,3109.7000000000003,3103.4,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0,2,0,2,1,6,2,3,3087.4,3115.3,3106.0,0,0,73.10000000000001,326.0,326.0,46.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,130.4,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,195,195,90.125,111.0,80.0625,111.3125,-2.5,17.1875,0.91796875,16.0,0,0,0,0.0,28,28,28,27,27,27,35,0,35,29,20,19,9,255,0,0,0,0,0,0,95,6.4,3,2008
2025-02-25 11:05:23,0x191AFF71,True,can0,8,39.747640833333335,30.474891166666666,816.1,17.82,0.85,6,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],27.3125,-27.3125,Enabled,2,171,180,59,36,46.0,171,236,-1331.2326965332031,OFF,OFF,OFF,OFF,OFF,No error,ON,20,2,D_Posiiton,0,Load_Mode,Not_PreCharge,32.5,29,0,1083.4,14.0,5,75.0,0,0,-400.0,4700,-1100,0,0,130,0,0.0,0,0,14.0,2801,112,171,246,22.41,19.990000000000002,731,2061.2000000000003,5095.8,-104.60000000000001,3093.6000000000004,3096.6000000000004,3096.2000000000003,3099.2000000000003,3096.1000000000004,3094.6000000000004,3100.1000000000004,3101.8,3101.6000000000004,3096.9,0.0,55.1,3107.3,3105.4,3107.7000000000003,3102.7000000000003,3100.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0,2,0,2,1,1,2,3,3093.6000000000004,3107.7000000000003,3099.9,0,0,73.10000000000001,326.0,326.0,46.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,130.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,200,200,76.125,110.375,75.1875,110.5,-1.625,17.5,0.93359375,15.0,0,0,0,0.0,27,27,27,27,27,27,36,0,35,29,20,19,8,255,0,0,0,0,0,0,90,6.4,3,2008
2025-02-25 11:05:24,0x191AFF71,True,can0,8,39.74771166666667,30.474886166666668,815.3,18.2,0.85,6,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],24.375,-24.375,Enabled,2,15,24,59,36,46.3125,15,85,-1235.1215515136719,OFF,OFF,OFF,OFF,OFF,No error,ON,20,2,D_Posiiton,0,Load_Mode,Not_PreCharge,34.5,29,0,1083.4,13.0,5,75.0,0,0,-400.0,4700,-1100,0,0,130,0,0.0,0,0,13.0,2965,109,15,236,22.400000000000002,19.98,731,2122.5,5095.6,-89.5,3106.3,3108.4,3104.8,3106.3,3105.5,3106.5,3113.6000000000004,3111.8,3109.9,3103.6000000000004,0.1,55.1,3119.5,3116.1000000000004,3116.2000000000003,3109.8,3109.3,0.0,0.0,0.2,0.1,0.0,0.1,0.1,0,2,0,2,1,10,2,1,3103.6000000000004,3119.5,3109.8,0,0,73.10000000000001,326.0,326.0,46.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,130.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,205,205,85.625,102.375,73.125,98.0625,-2.25,17.5625,0.9375,13.0,0,0,0,0.0,27,27,27,26,26,26,36,0,35,29,20,19,8,255,0,0,0,0,0,0,90,6.4,3,2008
2025-02-25 11:05:25,0x1919FF71,True,can0,8,39.747786166666664,30.474883333333334,814.8,18.2,0.85,4,user1,t_0,00:24,100,False,['1000 km bakımı: Servise gidin.'],22.125,-22.125,Enabled,2,115,124,59,36,46.0625,114,180,-1133.307357788086,OFF,OFF,OFF,OFF,OFF,No error,ON,20,2,D_Posiiton,0,Load_Mode,Not_PreCharge,36.0,29,0,1083.4,12.0,5,75.0,0,0,-400.0,4700,-1100,0,0,130,0,0.0,0,0,12.0,3098,107,115,196,22.39,19.97,730,2129.1,5096.0,-87.9,3106.7000000000003,3108.6000000000004,3105.8,3107.0,3104.5,3101.4,3113.3,3112.2000000000003,3110.8,3104.3,0.0,55.1,3119.7000000000003,3116.3,3116.9,3110.3,3108.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0,2,0,2,1,6,2,1,3101.4,3119.7000000000003,3109.7000000000003,0,0,73.0,326.0,326.0,46.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,130.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,No Fault,0,210,210,61.8125,100.125,62.1875,99.125,-1.5,17.25,0.9140625,12.0,0,0,0,0.0,27,27,26,26,26,26,36,0,35,29,20,19,7,255,0,0,0,0,0,0,90,6.4,3,2008
