Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,FaultCode,FaultData,SEQ_Fault,CS_Fault,Encoder_pos,vehicle_speed,range,Throtle_Pedal,Odometer,Mode_Control,Pre_charge_Status,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors,Timer,Severity,Error_Code
2025-02-25 11:21:22,0x191CFF71,True,can0,8,39.75094216666667,30.4838615,809.7,17.66,2.12,7,user1,t_0,00:20,100,False,['1000 km bakımı: Servise gidin.'],113,-52,0.0,0,0,21.0,1817,116,79,52,59.125,-59.125,Enabled,2,79,88,60,43,46.5,79,160,No Fault,0,131,131,-3586.027359008789,21.0,23,0,1088.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,15,3,D_Posiiton,0,21.0,5,75.0,0,0,-400.0,4700,-1100,0,0,18.03,15.48,588,2104.5,5096.900000000001,-94.10000000000001,3125.7000000000003,3127.8,3123.5,3125.8,3125.2000000000003,3123.5,3130.8,3130.1000000000004,3127.9,3123.0,0.1,55.1,3138.4,3135.1000000000004,3135.3,3129.6000000000004,3129.5,0.0,0.0,0.2,0.0,0.1,0.1,0.1,0,2,0,2,1,10,2,1,3123.0,3138.4,3128.7000000000003,1,1,58.800000000000004,326.0,326.0,46.900000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,52.0,113.30000000000001,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,35.0,Enable,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,38.875,51.6875,39.5625,50.0625,0.0,3.3125,0.16796875,4.0,0,0,0,0.0,21,21,21,21,21,21,44,0,34,26,25,20,0,255,0,0,0,0,0,0,118,1.9000000000000001,3,2009
2025-02-25 11:21:23,0x00000203,False,can0,8,39.75089716666667,30.4838635,810.0,18.17,2.12,7,user1,t_0,00:20,100,False,['1000 km bakımı: Servise gidin.'],113,-52,0.0,0,0,20.0,1903,113,179,219,56.0625,-56.0625,Enabled,2,179,188,60,43,46.5,179,4,No Fault,0,136,136,-3523.8626403808594,22.0,23,0,1088.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,15,2,D_Posiiton,0,20.0,5,75.0,0,0,-400.0,4700,-1100,0,0,18.02,15.47,588,2117.4,5096.8,-90.9,3120.7000000000003,3123.7000000000003,3123.8,3127.9,3122.3,3107.8,3125.8,3127.8,3128.2000000000003,3125.5,0.0,55.1,3133.8,3132.3,3135.3,3131.6000000000004,3127.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,2,0,2,1,6,2,3,3107.8,3135.3,3126.2000000000003,1,1,58.800000000000004,326.0,326.0,46.900000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,52.0,113.2,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,35.0,Enable,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,81.6875,128.25,89.375,133.1875,-1.375,14.5,0.765625,20.0,0,0,0,0.0,31,31,31,30,30,30,43,0,34,29,25,20,10,255,0,0,0,0,0,0,117,1.9000000000000001,3,2009
2025-02-25 11:21:24,0x191CFF71,True,can0,8,39.7508505,30.483864166666667,810.2,18.17,2.12,7,user1,t_0,00:20,100,False,['1000 km bakımı: Servise gidin.'],113,-52,0.0,0,0,19.0,1957,111,23,99,53.5,-53.5,Enabled,2,23,32,60,43,46.4375,23,103,No Fault,0,141,141,-3459.6453247070312,22.5,23,0,1088.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,15,2,D_Posiiton,0,19.0,5,75.0,0,0,-400.0,4700,-1100,0,0,18.01,15.46,587,2135.3,5097.200000000001,-86.5,3123.5,3126.6000000000004,3124.7000000000003,3123.1000000000004,3121.7000000000003,3117.7000000000003,3128.6000000000004,3129.3,3128.6000000000004,3120.5,0.0,55.1,3136.4,3134.5,3136.1000000000004,3127.3,3126.2000000000003,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0,2,0,2,1,6,2,1,3117.7000000000003,3136.4,3126.9,1,1,58.7,326.0,326.0,46.900000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,52.0,113.10000000000001,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,35.0,Enable,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,90.1875,135.3125,87.0625,127.5625,-2.0,13.5,0.71875,19.0,0,0,0,0.0,30,31,31,30,30,30,43,0,34,29,25,20,10,255,0,0,0,0,0,0,117,1.9000000000000001,3,2009
2025-02-25 11:21:25,0x191CFF71,True,can0,8,39.75080166666667,30.483865333333334,810.5,17.7,2.12,6,user1,t_0,00:20,100,False,['1000 km bakımı: Servise gidin.'],113,-52,0.0,0,0,19.0,1988,112,123,231,52.4375,-52.4375,Enabled,2,123,132,60,43,46.5,123,204,No Fault,0,146,146,-3393.896041870117,23.0,23,0,1088.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,15,2,D_Posiiton,0,19.0,5,75.0,0,0,-400.0,4700,-1100,0,0,18.0,15.450000000000001,587,2120.8,5096.6,-90.0,3119.2000000000003,3119.8,3120.7000000000003,3124.7000000000003,3122.3,3119.3,3125.5,3124.5,3125.0,3121.9,0.0,55.1,3132.8,3129.1000000000004,3132.5,3128.4,3126.8,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0,2,0,2,1,1,2,1,3119.2000000000003,3132.8,3124.8,1,1,58.7,326.0,326.0,46.900000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,52.0,113.10000000000001,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,35.0,Enable,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,87.8125,131.0,87.0625,128.375,-1.9375,14.1875,0.75,19.0,0,0,0,0.0,30,30,30,30,30,30,43,0,34,29,25,20,10,255,0,0,0,0,0,0,117,1.9000000000000001,3,2009
2025-02-25 11:21:26,0x00000203,False,can0,8,39.750752166666665,30.483867666666665,810.9,17.7,2.12,6,user1,t_0,00:20,100,False,['1000 km bakımı: Servise gidin.'],113,-52,0.0,0,0,18.0,2036,109,223,104,49.875,-49.875,Enabled,2,223,232,60,43,46.4375,223,47,No Fault,0,151,151,-3326.6590423583984,23.5,23,0,1088.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,15,2,D_Posiiton,0,18.0,5,75.0,0,0,-400.0,4700,-1100,0,0,17.990000000000002,15.43,587,2135.5,5096.5,-86.4,3120.9,3122.5,3122.9,3125.7000000000003,3122.6000000000004,3121.1000000000004,3127.0,3126.6000000000004,3127.3,3123.0,0.0,55.1,3134.4,3131.5,3134.7000000000003,3129.5,3127.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0,2,0,2,1,1,2,3,3120.9,3134.7000000000003,3126.4,1,1,58.7,326.0,326.0,46.900000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,52.0,113.0,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,35.0,Enable,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,94.25,128.8125,84.75,123.0625,-2.1875,14.0,0.73828125,18.0,0,0,0,0.0,30,30,30,29,29,29,43,0,34,29,25,20,9,255,0,0,0,0,0,0,117,1.9000000000000001,3,2009
2025-02-25 11:21:27,0x191CFF71,True,can0,8,39.750701166666666,30.483870333333332,811.0,18.21,2.12,6,user1,t_0,00:20,100,False,['1000 km bakımı: Servise gidin.'],112,-52,0.0,0,0,17.0,2075,105,67,224,49.1875,-49.1875,Enabled,2,67,76,60,43,46.625,67,150,No Fault,0,156,156,-3258.1228790283203,24.0,23,0,1088.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,15,2,D_Posiiton,0,17.0,5,75.0,0,0,-400.0,4700,-1100,0,0,17.98,15.42,586,2118.4,5096.700000000001,-90.60000000000001,3117.8,3119.3,3120.6000000000004,3121.1000000000004,3115.9,3106.8,3121.5,3123.0,3124.5,3118.8,0.1,55.1,3130.6000000000004,3128.1000000000004,3131.8,3125.5,3120.7000000000003,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0,2,0,2,1,6,2,3,3106.8,3131.8,3121.7000000000003,1,1,58.6,326.0,326.0,46.800000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,52.0,112.9,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,35.0,Enable,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,88.1875,124.4375,84.75,123.1875,-1.875,14.4375,0.765625,18.0,0,0,0,0.0,30,30,30,29,29,29,43,0,34,29,25,21,9,255,0,0,0,0,0,0,117,1.9000000000000001,3,2009
2025-02-25 11:21:28,0x191CFF71,True,can0,8,39.750649333333335,30.4838735,811.3,18.21,2.12,7,user1,t_0,00:20,100,False,['1000 km bakımı: Servise gidin.'],112,-52,0.0,0,0,17.0,2083,104,167,75,47.9375,-47.9375,Enabled,2,167,176,60,43,46.5,167,248,No Fault,0,161,161,-3188.7174682617188,24.0,23,0,1088.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,15,2,D_Posiiton,0,17.0,5,75.0,0,0,-400.0,4700,-1100,0,0,17.98,15.42,586,2165.0,5096.400000000001,-79.2,3120.4,3121.8,3121.3,3124.4,3117.9,3105.9,3124.1000000000004,3125.7000000000003,3125.4,3122.2000000000003,0.0,55.1,3133.1000000000004,3130.7000000000003,3132.8,3128.3,3122.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,2,0,2,1,6,2,1,3105.9,3133.1000000000004,3123.7000000000003,1,1,58.6,326.0,326.0,46.900000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,52.0,112.9,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,35.0,Enable,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,75.0,120.6875,82.375,118.0,-0.6875,14.1875,0.74609375,17.0,0,0,0,0.0,30,30,30,29,29,29,43,0,35,29,25,21,9,255,0,0,0,0,0,0,117,1.9000000000000001,3,2009
2025-02-25 11:21:29,0x00000203,False,can0,8,39.75059683333333,30.4838765,811.6,18.25,2.12,6,user1,t_0,00:20,100,False,['1000 km bakımı: Servise gidin.'],112,-52,0.0,0,0,17.0,2100,106,11,194,47.25,-47.25,Enabled,2,11,20,60,43,46.5,11,92,No Fault,0,166,166,-3118.896469116211,24.5,23,0,1088.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,15,2,D_Posiiton,0,17.0,5,75.0,0,0,-400.0,4700,-1100,0,0,17.97,15.41,586,2159.1,5096.0,-80.60000000000001,3117.9,3119.5,3119.7000000000003,3124.6000000000004,3118.6000000000004,3105.4,3121.7000000000003,3123.3,3123.9,3122.1000000000004,0.0,55.1,3130.8,3128.5,3131.6000000000004,3128.3,3123.4,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0,2,0,2,1,6,2,3,3105.4,3131.6000000000004,3122.6000000000004,1,1,58.6,326.0,326.0,46.800000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,52.0,112.9,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,35.0,Enable,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,79.0,123.5625,82.375,118.0,-0.9375,13.9375,0.734375,17.0,0,0,0,0.0,29,29,29,29,29,29,43,0,35,30,25,21,8,255,0,0,0,0,0,0,117,1.9000000000000001,3,2009
2025-02-25 11:21:30,0x191CFF71,True,can0,8,39.750542833333334,30.4838795,812.1,18.25,2.16,6,user1,t_0,00:20,100,False,['1000 km bakımı: Servise gidin.'],112,-52,0.0,0,0,17.0,2103,106,111,41,47.125,-47.125,Enabled,2,111,120,60,43,46.5,111,192,No Fault,0,171,171,-3048.95361328125,24.5,23,0,1088.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,15,2,D_Posiiton,0,17.0,5,75.0,0,0,-400.0,4700,-1100,0,0,17.96,15.4,586,2143.1,5096.3,-84.60000000000001,3116.3,3120.1000000000004,3117.8,3119.6000000000004,3117.2000000000003,3112.7000000000003,3120.8,3122.7000000000003,3122.3,3116.9,0.1,55.1,3129.5,3128.3,3129.9,3123.4,3122.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0,2,0,2,1,6,2,3,3112.7000000000003,3129.9,3121.3,1,1,58.6,326.0,326.0,46.800000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,52.0,112.9,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,35.0,Enable,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,89.875,123.5625,82.375,118.0,-1.6875,14.125,0.74609375,17.0,0,0,0,0.0,29,29,29,29,29,29,43,0,35,30,25,21,8,255,0,0,0,0,0,0,117,1.9000000000000001,3,2009
2025-02-25 11:21:31,0x191CFF71,True,can0,8,39.75048966666667,30.483881333333333,812.5,18.14,2.16,6,user1,t_0,00:20,100,False,['1000 km bakımı: Servise gidin.'],112,-52,0.0,0,0,17.0,2116,106,211,154,46.75,-46.75,Enabled,2,211,220,60,43,46.4375,211,35,No Fault,0,176,176,-2978.525177001953,24.5,23,0,1088.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,15,2,D_Posiiton,0,17.0,5,75.0,0,0,-400.0,4700,-1100,0,0,17.95,15.39,585,2155.7000000000003,5096.5,-81.5,3115.7000000000003,3120.0,3118.4,3117.1000000000004,3114.8,3109.1000000000004,3120.8,3122.7000000000003,3122.6000000000004,3114.7000000000003,0.1,55.1,3129.2000000000003,3128.2000000000003,3130.2000000000003,3121.1000000000004,3119.5,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0,2,0,2,1,6,2,3,3109.1000000000004,3130.2000000000003,3120.2000000000003,1,1,58.5,326.0,326.0,46.800000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,52.0,112.80000000000001,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,35.0,Enable,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,78.5,123.875,82.375,118.0,-0.9375,14.125,0.74609375,17.0,0,0,0,0.0,29,29,29,29,29,29,43,0,35,30,25,21,8,255,0,0,0,0,0,0,117,1.9000000000000001,3,2009
