Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,Encoder_pos,vehicle_speed,range,Throtle_Pedal,Odometer,Mode_Control,Pre_charge_Status,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,FaultCode,FaultData,SEQ_Fault,CS_Fault,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate
2025-02-24 16:35:45,0x191CFF71,True,can0,8,39.74629216666666,30.4737665,865.9,26.24,10.36,0,user1,0,Calculating,100,14 saat 2 dakika,['1000 km bakımı: Servise gidin.'],155.20000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,224,224,68.0,-68.0,Enabled,0,224,231,48,6,49.5,224,49,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.6,45.93,1552,2538.8,5099.700000000001,12.100000000000001,3300.4,3306.2000000000003,3306.0,3306.2000000000003,3306.4,3305.5,3304.9,3304.9,3305.1000000000004,3299.2000000000003,0.0,55.1,3304.1000000000004,3305.8,3304.9,3304.8,3302.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0,2,0,2,1,10,1,5,3299.2000000000003,3306.4,3304.4,-1,-1,No Fault,0,126,126,22.625,-0.25,21.8125,0.0,0.375,0.0,0.01953125,0.0,0,0,0,0.0,10,10,10,10,1,255,0,0,0,0,0,0,2,9,10,9,11,10,10,6,0
2025-02-24 16:35:46,0x191271FA,True,can0,8,39.7462915,30.473766,866.0,26.17,10.36,-2,user1,0,Calculating,100,14 saat 2 dakika,['1000 km bakımı: Servise gidin.'],155.20000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,80,80,68.0,-68.0,Enabled,0,80,87,48,6,49.5,80,161,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.6,45.93,1552,2538.8,5098.900000000001,12.100000000000001,3300.4,3306.0,3306.0,3306.2000000000003,3306.5,3305.5,3304.9,3305.0,3305.2000000000003,3299.3,0.0,55.1,3304.1000000000004,3305.9,3305.1000000000004,3304.9,3302.5,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0,2,0,2,1,10,1,5,3299.3,3306.5,3304.5,-1,-1,No Fault,0,132,132,21.5625,-0.1875,21.8125,0.0,0.5,0.0,0.0234375,0.0,0,0,0,0.0,10,10,10,10,1,255,0,0,0,0,0,0,2,9,10,9,11,10,10,6,0
2025-02-24 16:35:47,0x191CFF71,True,can0,8,39.746287833333334,30.4737615,866.5,26.17,10.36,0,user1,0,Calculating,100,13 saat 41 dakika,['1000 km bakımı: Servise gidin.'],155.20000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,181,181,68.0,-68.0,Enabled,0,181,188,48,6,49.5,181,6,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.6,45.93,1552,2539.8,5099.400000000001,12.4,3300.6000000000004,3306.1000000000004,3306.0,3306.3,3306.5,3305.6000000000004,3304.9,3305.1000000000004,3305.2000000000003,3299.3,0.0,55.1,3304.1000000000004,3305.9,3305.1000000000004,3304.9,3302.4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0,2,0,2,1,10,1,5,3299.3,3306.5,3304.5,-1,-1,No Fault,0,137,137,21.8125,0.0,21.8125,0.0,0.4375,0.0,0.0234375,0.0,0,0,0,0.0,10,10,10,9,1,255,0,0,0,0,0,0,2,9,10,9,11,10,10,6,0
2025-02-24 16:35:48,0x192CFF71,True,can0,8,39.7462885,30.473761833333334,866.3,26.29,10.36,-2,user1,0,Calculating,100,14 saat 2 dakika,['1000 km bakımı: Servise gidin.'],155.20000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,24,24,68.0,-68.0,Enabled,0,24,31,48,6,49.5,24,105,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.6,45.93,1552,2539.0,5099.200000000001,12.100000000000001,3300.6000000000004,3306.2000000000003,3306.0,3306.2000000000003,3306.4,3305.5,3305.1000000000004,3305.0,3305.2000000000003,3299.4,0.0,55.1,3304.2000000000003,3305.8,3305.0,3304.8,3302.4,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0,2,0,2,1,10,1,5,3299.4,3306.4,3304.5,-1,-1,No Fault,0,142,142,21.9375,-0.125,21.8125,0.0,0.4375,0.0,0.0234375,0.0,0,0,0,0.0,10,10,10,9,1,255,0,0,0,0,0,0,2,9,10,9,11,10,10,6,0
2025-02-24 16:35:49,0x191CFF71,True,can0,8,39.7462895,30.4737625,865.9,26.29,10.36,0,user1,0,Calculating,100,13 saat 41 dakika,['1000 km bakımı: Servise gidin.'],155.20000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,112,112,68.0,-68.0,Enabled,0,112,119,48,6,49.5,112,193,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.6,45.93,1552,2540.3,5099.1,12.4,3300.6000000000004,3306.1000000000004,3306.0,3306.2000000000003,3306.5,3305.6000000000004,3304.9,3305.0,3305.2000000000003,3299.3,0.0,55.1,3304.1000000000004,3305.8,3305.1000000000004,3304.9,3302.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0,2,0,2,1,10,1,5,3299.3,3306.5,3304.5,-1,-1,No Fault,0,146,146,21.0625,0.0625,21.8125,0.0,0.5,0.0,0.0234375,0.0,0,0,0,0.0,10,10,10,10,1,255,0,0,0,0,0,0,2,9,10,9,11,10,10,6,0
2025-02-24 16:35:50,0x191CFF71,True,can0,8,39.7462905,30.47376433333333,865.7,26.34,10.36,-2,user1,0,Calculating,100,13 saat 41 dakika,['1000 km bakımı: Servise gidin.'],155.20000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,225,225,68.0,-68.0,Enabled,0,225,232,48,6,49.5,225,50,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.6,45.93,1552,2540.2000000000003,5100.6,12.4,3300.6000000000004,3306.2000000000003,3306.0,3306.3,3306.5,3305.4,3304.9,3304.9,3305.1000000000004,3299.3,0.0,55.1,3304.2000000000003,3305.8,3304.9,3304.8,3302.4,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0,2,0,2,1,10,1,5,3299.3,3306.5,3304.4,-1,-1,No Fault,0,151,151,21.4375,0.3125,21.8125,0.0,0.5,0.0,0.0234375,0.0,0,0,0,0.0,10,10,10,10,1,255,0,0,0,0,0,0,2,9,10,9,11,10,10,6,0
2025-02-24 16:35:51,0x00000201,False,can0,8,39.74629,30.473765,865.6,26.34,10.36,-2,user1,0,Calculating,100,14 saat 2 dakika,['1000 km bakımı: Servise gidin.'],155.20000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,69,69,68.0,-68.0,Enabled,0,69,76,48,6,49.5,69,150,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.6,45.93,1552,2539.0,5099.3,12.100000000000001,3300.6000000000004,3306.1000000000004,3306.0,3306.2000000000003,3306.4,3305.4,3304.9,3305.0,3305.3,3299.3,0.0,55.1,3304.1000000000004,3305.9,3305.0,3304.9,3302.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,2,0,2,1,10,1,5,3299.3,3306.4,3304.5,-1,-1,No Fault,0,157,157,22.1875,0.3125,21.8125,0.0,0.4375,0.0,0.01953125,0.0,0,0,0,0.0,10,10,10,10,1,255,0,0,0,0,0,0,2,9,10,9,11,10,10,6,0
2025-02-24 16:35:52,0x191AFF71,True,can0,8,39.7462895,30.473766666666666,865.4,26.16,10.36,-2,user1,0,Calculating,100,13 saat 55 dakika,['1000 km bakımı: Servise gidin.'],155.20000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,169,169,68.0,-68.0,Enabled,0,169,176,48,6,49.5,169,250,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.6,45.93,1552,2539.0,5099.8,12.200000000000001,3300.6000000000004,3306.1000000000004,3305.9,3306.2000000000003,3306.5,3305.5,3304.9,3305.0,3305.1000000000004,3299.2000000000003,0.0,55.1,3304.2000000000003,3305.8,3304.9,3304.8,3302.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,1,10,1,5,3299.2000000000003,3306.5,3304.4,-1,-1,No Fault,0,162,162,21.4375,0.1875,21.8125,0.0,0.5,0.0,0.0234375,0.0,0,0,0,0.0,10,10,10,9,1,255,0,0,0,0,0,0,2,9,10,9,11,10,10,6,0
2025-02-24 16:35:53,0x191171FA,True,can0,8,39.7462905,30.473767666666667,865.2,26.16,10.36,-2,user1,0,Calculating,100,13 saat 55 dakika,['1000 km bakımı: Servise gidin.'],155.20000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,252,252,68.0,-68.0,Enabled,0,252,3,48,6,49.5,252,77,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.6,45.93,1552,2538.9,5099.900000000001,12.200000000000001,3300.3,3306.1000000000004,3305.9,3306.1000000000004,3306.4,3305.5,3304.9,3305.0,3305.1000000000004,3299.3,0.0,55.1,3304.2000000000003,3305.8,3305.0,3304.9,3302.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,2,0,2,1,10,1,5,3299.3,3306.4,3304.4,-1,-1,No Fault,0,166,166,21.3125,0.0625,21.8125,0.0,0.5,0.0,0.0234375,0.0,0,0,0,0.0,10,10,10,10,1,255,0,0,0,0,0,0,2,9,10,9,11,10,10,6,0
2025-02-24 16:35:54,0x191CFF71,True,can0,8,39.746292,30.473768166666666,865.1,26.24,10.36,-2,user1,0,Calculating,100,13 saat 55 dakika,['1000 km bakımı: Servise gidin.'],155.20000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,113,113,68.0,-68.0,Enabled,0,113,120,48,6,49.5,113,194,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.6,45.93,1552,2539.1000000000004,5099.200000000001,12.200000000000001,3300.6000000000004,3306.2000000000003,3306.1000000000004,3306.2000000000003,3306.5,3305.6000000000004,3304.9,3305.1000000000004,3305.2000000000003,3299.3,0.0,55.1,3304.2000000000003,3305.8,3305.1000000000004,3304.9,3302.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,1,10,1,5,3299.3,3306.5,3304.5,-1,-1,No Fault,0,172,172,21.0625,0.0625,21.8125,0.0,0.5,0.0,0.0234375,0.0,0,0,0,0.0,10,10,10,9,1,255,0,0,0,0,0,0,2,9,10,9,11,10,10,6,0
