Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,Encoder_pos,vehicle_speed,range,Throtle_Pedal,Odometer,Mode_Control,Pre_charge_Status,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,FaultCode,FaultData,SEQ_Fault,CS_Fault,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors,Timer,Severity,Error_Code
2025-02-24 16:46:47,0x191AFF71,True,can0,8,39.74732066666667,30.474929833333334,818.4,27.18,6.7,-2,user1,t_0,01:28,100,14 saat 52 dakika,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,139,146,53,11,49.25,139,226,3362.7474365234375,8.5,67,0,1057.3,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,45,0,D_Posiiton,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,46.51,44.81,1516,2537.3,5098.8,11.700000000000001,228,0,0.0,0,0,3282.7000000000003,3287.7000000000003,3287.2000000000003,3287.8,3288.3,3286.5,3285.6000000000004,3285.6000000000004,0.0,761,1,139,135,3286.0,3281.0,0.1,55.1,3286.6000000000004,3287.8,3287.0,3286.7000000000003,3285.1000000000004,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0,2,0,2,1,10,1,5,3281.0,3288.3,3286.1000000000004,-1,-1,151.6,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,109,109,15,14,15,14,14,14,11,0,20,18,11,14,0,255,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,21.625,0.25,21.8125,0.0,0.5625,1.6875,0.08984375,0.0,0,0,0,0.0,0,0,0,0,2,1.4000000000000001,3,2009
2025-02-24 16:46:48,0x1919FF71,True,can0,8,39.74733833333333,30.474931833333333,818.3,26.01,6.7,-2,user1,t_0,01:28,100,30 saat 4 dakika,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,239,246,53,11,49.0625,238,66,3387.849105834961,8.5,67,0,1057.3,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,45,2,D_Posiiton,0,10.0,5,75.0,0,0,-400.0,4700,-1100,0,0,46.5,44.800000000000004,1516,2512.7000000000003,5098.200000000001,5.800000000000001,228,0,0.0,0,0,3279.7000000000003,3284.3,3283.9,3284.3,3284.9,3282.9,3282.3,3282.0,9.0,762,22,239,145,3282.5,3277.3,0.0,55.1,3283.6000000000004,3284.2000000000003,3283.6000000000004,3283.1000000000004,3281.7000000000003,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0,2,0,2,1,10,1,5,3277.3,3284.9,3282.6000000000004,-1,-1,151.6,326.0,326.0,49.2,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,114,114,14,14,14,14,14,14,11,0,20,18,11,14,0,255,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,48.1875,85.5625,48.4375,84.6875,0.0625,2.875,0.13671875,6.0,0,0,0,0.0,0,0,0,0,2,1.4000000000000001,3,2009
2025-02-24 16:46:49,0x191CFF71,True,can0,8,39.747355,30.474929333333332,818.8,26.01,6.7,0,user1,t_0,01:28,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,83,90,53,11,48.4375,83,157,3416.5279998779297,11.0,67,0,1057.3,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,45,3,D_Posiiton,0,21.0,5,75.0,0,0,-400.0,4700,-1100,0,0,46.5,44.800000000000004,1516,2312.8,5098.3,-43.2,228,0,0.0,0,0,3235.6000000000004,3238.1000000000004,3237.5,3239.1000000000004,3238.9,3232.6000000000004,3233.5,3231.7000000000003,21.0,965,67,83,175,3234.2000000000003,3230.8,0.2,55.1,3239.5,3235.8,3236.3,3236.2000000000003,3234.7000000000003,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0,2,0,2,1,10,2,1,3230.8,3239.5,3235.6000000000004,-1,-1,151.6,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,119,119,15,15,15,15,15,15,11,0,20,18,11,14,1,255,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,89.0625,140.9375,91.3125,142.4375,0.25,6.875,0.34765625,21.0,0,0,0,0.0,0,0,0,0,2,1.4000000000000001,3,2009
2025-02-24 16:46:50,0x191CFF71,True,can0,8,39.747376833333334,30.474928,818.7,26.09,6.7,2,user1,t_0,01:28,100,False,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,183,190,53,11,49.0,183,10,3452.000442504883,12.5,67,0,1057.3,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,45,0,D_Posiiton,0,2.0,5,75.0,0,0,-400.0,4700,-1100,0,0,46.5,44.800000000000004,1516,2470.2000000000003,5097.8,-4.6000000000000005,228,0,0.0,0,0,3261.7000000000003,3265.6000000000004,3264.0,3266.1000000000004,3266.5,3262.2000000000003,3261.8,3261.2000000000003,2.0,1113,10,183,62,3261.7000000000003,3258.6000000000004,0.0,55.1,3265.6000000000004,3264.6000000000004,3263.5,3264.0,3262.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0,2,0,2,1,10,1,5,3258.6000000000004,3266.5,3263.3,-1,-1,151.6,326.0,326.0,48.900000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,124,124,19,19,19,19,19,19,11,0,20,18,11,14,5,255,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,40.125,38.5625,39.5625,38.125,0.25,5.0625,0.25390625,4.0,0,0,0,0.0,0,0,0,0,2,1.4000000000000001,3,2009
2025-02-24 16:46:51,0x1919FF71,True,can0,8,39.74740333333333,30.474928666666667,818.9,26.09,6.7,0,user1,t_0,01:28,100,15 saat 9 dakika,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,27,34,53,11,49.1875,26,112,3488.761672973633,12.5,67,0,1057.3,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,45,0,D_Posiiton,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,46.5,44.800000000000004,1516,2536.1000000000004,5098.900000000001,11.5,228,0,0.0,0,0,3279.1000000000004,3283.8,3283.3,3283.9,3284.4,3282.6000000000004,3281.4,3281.5,0.0,1095,1,27,103,3281.8,3277.1000000000004,0.0,55.1,3283.0,3284.0,3282.9,3282.7000000000003,3281.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0,2,0,2,1,10,1,5,3277.1000000000004,3284.4,3282.1000000000004,-1,-1,151.6,326.0,326.0,49.2,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,129,129,18,18,18,18,18,18,11,0,20,19,11,14,4,255,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,21.375,0.875,21.8125,0.0,0.75,2.375,0.125,0.0,0,0,0,0.0,0,0,0,0,2,1.4000000000000001,3,2009
2025-02-24 16:46:52,0x191CFF71,True,can0,8,39.747429,30.47493,818.6,26.32,6.7,-2,user1,t_0,01:28,100,14 saat 44 dakika,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,127,134,53,11,49.1875,127,213,3524.8582458496094,12.0,67,0,1057.3,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,45,0,D_Posiiton,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,46.5,44.800000000000004,1516,2537.4,5099.1,11.8,228,0,0.0,0,0,3280.1000000000004,3284.9,3284.5,3285.3,3285.6000000000004,3283.7000000000003,3282.8,3282.8,0.0,1070,1,127,178,3283.3,3278.4,0.0,55.1,3284.0,3285.1000000000004,3284.3,3284.0,3282.5,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0,2,0,2,1,10,1,5,3278.4,3285.6000000000004,3283.4,-1,-1,151.6,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,134,134,16,16,16,16,16,16,11,0,20,19,11,14,2,255,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,20.9375,-1.1875,21.8125,0.0,0.75,2.25,0.11328125,0.0,0,0,0,0.0,0,0,0,0,2,1.4000000000000001,3,2009
2025-02-24 16:46:53,0x00000A11,True,can0,8,39.7474505,30.474928666666667,817.6,26.32,6.7,-2,user1,t_0,01:28,100,14 saat 52 dakika,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,217,224,53,11,49.1875,217,47,3556.5675506591797,12.0,67,0,1057.3,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,45,0,D_Posiiton,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,46.5,44.800000000000004,1516,2537.3,5099.5,11.700000000000001,228,0,0.0,0,0,3280.9,3285.7000000000003,3285.1000000000004,3285.8,3286.3,3284.4,3283.7000000000003,3283.4,0.0,1034,1,217,232,3283.9,3279.0,0.1,55.1,3284.8,3285.8,3285.0,3284.7000000000003,3283.2000000000003,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0,2,0,2,1,10,1,5,3279.0,3286.3,3284.1000000000004,-1,-1,151.6,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,138,138,15,15,15,15,15,15,11,0,20,19,11,14,2,255,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,21.875,0.125,21.8125,0.0,0.6875,2.1875,0.11328125,0.0,0,0,0,0.0,0,0,0,0,3,1.4000000000000001,3,2009
2025-02-24 16:46:54,0x1919FF71,True,can0,8,39.747475666666666,30.4749255,817.9,25.96,6.7,-2,user1,t_0,01:28,100,14 saat 22 dakika,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,71,78,53,11,49.25,70,157,3592.1552124023438,10.5,67,0,1057.3,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,45,0,D_Posiiton,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,46.5,44.800000000000004,1516,2538.5,5098.900000000001,12.100000000000001,228,0,0.0,0,0,3281.5,3286.4,3285.9,3286.5,3287.0,3285.3,3284.2000000000003,3284.1000000000004,0.0,910,1,71,217,3284.6000000000004,3279.6000000000004,0.0,55.1,3285.5,3286.5,3285.7000000000003,3285.4,3283.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0,2,0,2,1,10,1,5,3279.6000000000004,3286.8,3284.6000000000004,-1,-1,151.6,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,144,144,15,15,15,15,15,15,11,0,20,18,11,14,1,255,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,21.5625,-1.125,21.8125,0.0,0.6875,2.0,0.10546875,0.0,0,0,0,0.0,0,0,0,0,2,1.4000000000000001,3,2009
2025-02-24 16:46:55,0x191CFF71,True,can0,8,39.74750066666667,30.474926666666665,818.0,25.96,6.7,-4,user1,t_0,01:28,100,14 saat 22 dakika,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,171,178,53,11,49.1875,171,1,3620.3028564453125,9.0,67,0,1057.3,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,45,0,D_Posiiton,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,46.5,44.800000000000004,1516,2538.6000000000004,5098.8,12.100000000000001,228,0,0.0,0,0,3281.9,3286.6000000000004,3286.3,3286.9,3287.4,3285.7000000000003,3284.7000000000003,3284.7000000000003,0.0,781,1,171,188,3285.1000000000004,3280.1000000000004,0.2,55.1,3285.8,3286.9,3286.0,3285.7000000000003,3284.2000000000003,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0,2,0,2,1,10,1,5,3280.1000000000004,3287.4,3285.2000000000003,-1,-1,151.6,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,149,149,15,15,15,15,15,15,11,0,20,18,11,14,1,255,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,21.0,0.4375,21.8125,0.0,0.6875,1.6875,0.08984375,0.0,0,0,0,0.0,0,0,0,0,2,1.4000000000000001,3,2009
2025-02-24 16:46:56,0x191CFF71,True,can0,8,39.747518,30.4749245,817.5,27.2,6.7,-6,user1,t_0,01:28,100,14 saat 44 dakika,['1000 km bakımı: Servise gidin.'],68.0,-68.0,Enabled,0,15,22,53,11,49.25,15,102,3643.4396057128906,7.0,67,0,1057.3,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,45,0,D_Posiiton,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,46.5,44.800000000000004,1516,2537.2000000000003,5098.700000000001,11.8,228,0,0.0,0,0,3282.2000000000003,3287.1000000000004,3286.8,3287.3,3287.8,3286.2000000000003,3285.1000000000004,3285.0,0.0,605,0,15,110,3285.6000000000004,3280.6000000000004,0.0,55.1,3286.3,3287.4,3286.6000000000004,3286.4,3284.7000000000003,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0,2,0,2,1,10,1,5,3280.6000000000004,3287.8,3285.6000000000004,-1,-1,151.6,326.0,326.0,49.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,154,154,15,15,15,14,15,14,11,0,20,18,11,14,1,255,0,0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,21.75,0.25,21.8125,0.0,0.5625,1.375,0.0703125,0.0,0,0,0,0.0,0,0,0,0,2,1.4000000000000001,3,2009
