Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,Encoder_pos,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,vehicle_speed,range,Throtle_Pedal,Odometer,Mode_Control,Pre_charge_Status,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,FaultCode,FaultData,SEQ_Fault,CS_Fault,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors
2025-02-25 09:43:41,0x191CFF71,True,can0,8,39.7473645,30.474910833333333,817.4,12.02,-4.49,-6,user1,0,00:40,100,17 saat 46 dakika,['1000 km bakımı: Servise gidin.'],3232.6000000000004,3241.2000000000003,3238.4,-4,-4,114.5,326.0,326.0,48.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,30205.91404724121,0.0,1,0,23,24,0.0,49,0,1067.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,33,0,D_Posiiton,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,68.0,-68.0,Enabled,0,23,30,50,14,48.5,23,98,OFF,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,35.12,33.08,1145,2538.6000000000004,5098.900000000001,12.100000000000001,3232.6000000000004,3238.0,3238.5,3238.9,3237.6000000000004,3239.4,3240.3,3241.0,3240.6000000000004,3234.1000000000004,0.0,55.1,3238.3,3241.2000000000003,3240.8,3239.4,3236.4,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0,2,0,2,1,1,2,2,No Fault,0,65,65,21.1875,0.3125,21.8125,0.0,0.5,0.0,0.0234375,0.0,0,0,0,0.0,12,11,11,11,11,11,14,0,24,18,9,11,1,255,0,0,0,0,0,0,2
2025-02-25 09:43:42,0x00000201,False,can0,8,39.74736466666667,30.47491,817.3,12.02,-4.49,-4,user1,0,00:40,100,17 saat 46 dakika,['1000 km bakımı: Servise gidin.'],3233.3,3241.7000000000003,3238.9,-4,-4,114.5,326.0,326.0,48.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,30206.000595092773,0.0,3,0,125,128,0.0,49,0,1067.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,33,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,68.0,-68.0,Enabled,0,125,132,50,14,48.5625,125,201,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,35.12,33.08,1145,2538.5,5098.5,12.100000000000001,3233.3,3238.5,3239.0,3239.3,3238.0,3239.7000000000003,3240.6000000000004,3241.5,3240.8,3234.5,0.1,55.1,3238.7000000000003,3241.7000000000003,3241.5,3240.0,3236.9,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0,2,0,2,1,1,2,2,No Fault,0,70,70,22.125,-0.375,21.8125,0.0,0.4375,0.125,0.0234375,0.0,0,0,0,0.0,12,11,11,11,11,11,14,0,24,18,9,11,1,255,0,0,0,0,0,0,2
2025-02-25 09:43:43,0x191AFF71,True,can0,8,39.747364,30.474909666666665,817.1,12.83,-4.49,-4,user1,0,00:40,100,17 saat 37 dakika,['1000 km bakımı: Servise gidin.'],3233.6000000000004,3242.0,3239.2000000000003,-4,-4,114.5,326.0,326.0,48.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,30206.158966064453,0.0,4,0,224,228,0.0,49,0,1067.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,33,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,68.0,-68.0,Enabled,0,224,231,50,14,48.5,224,43,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,35.12,33.08,1145,2538.5,5098.400000000001,12.200000000000001,3233.6000000000004,3238.8,3239.3,3239.7000000000003,3238.4,3240.1000000000004,3241.0,3241.8,3241.3,3234.7000000000003,0.0,55.1,3239.2000000000003,3242.0,3241.7000000000003,3240.2000000000003,3237.2000000000003,0.1,0.0,0.0,0.2,0.1,0.30000000000000004,0.1,0,2,0,2,1,1,2,2,No Fault,0,75,75,21.625,0.3125,21.8125,0.0,0.4375,0.0,0.01953125,0.0,0,0,0,0.0,11,11,11,11,11,12,14,0,24,18,9,11,1,255,0,0,0,0,0,0,2
2025-02-25 09:43:44,0x191CFF71,True,can0,8,39.74736433333333,30.474909333333333,817.3,12.83,-4.49,-2,user1,0,00:40,100,17 saat 37 dakika,['1000 km bakımı: Servise gidin.'],3234.0,3242.3,3239.6000000000004,-4,-4,114.5,326.0,326.0,48.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,30206.243209838867,-2.0,-12,2,68,24,0.0,49,0,1067.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,33,0,R_position,0,-3.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,68.0,-68.0,Enabled,0,68,75,50,14,48.5625,68,144,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Pressed,Not pressed,Not pressed,OFF,OFF,OFF,0,35.12,33.08,1145,2538.8,5098.700000000001,12.200000000000001,3234.0,3239.1000000000004,3239.8,3240.1000000000004,3238.8,3240.5,3241.5,3242.1000000000004,3241.6000000000004,3235.3,0.1,55.1,3239.5,3242.3,3242.0,3240.7000000000003,3237.5,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0,2,0,2,1,1,2,2,No Fault,0,80,80,22.4375,0.4375,21.8125,0.0,0.375,-0.0625,0.01953125,0.0,0,0,0,0.0,11,12,11,11,11,11,14,0,24,18,9,11,1,255,0,0,0,0,0,0,2
2025-02-25 09:43:45,0x191071FA,True,can0,8,39.747364,30.474909166666666,817.0,11.8,-4.49,-4,user1,0,00:40,100,False,['1000 km bakımı: Servise gidin.'],3218.2000000000003,3227.8,3224.4,-4,-4,114.5,326.0,326.0,48.400000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,30204.050247192383,-19.0,-137,21,169,2,1.5,49,0,1067.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,33,2,R_position,0,-19.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,68.0,-68.0,Enabled,0,169,176,50,14,48.25,169,240,OFF,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Pressed,Not pressed,Not pressed,OFF,OFF,OFF,0,35.12,33.08,1145,2487.7000000000003,5098.200000000001,-0.30000000000000004,3218.2000000000003,3224.4,3224.3,3224.9,3223.5,3223.7000000000003,3227.0,3227.8,3226.9,3219.9,0.0,55.1,3224.3,3227.1000000000004,3227.1000000000004,3225.4,3222.2000000000003,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0,2,0,2,1,1,1,8,No Fault,0,85,85,88.75,-137.25,89.375,-136.5625,0.4375,-1.6875,0.08984375,-20.0,0,0,0,0.0,15,15,15,15,15,15,14,0,24,18,9,11,4,255,0,0,0,0,0,0,2
2025-02-25 09:43:46,0x191CFF71,True,can0,8,39.7473615,30.4749095,816.7,11.8,-4.49,-4,user1,0,00:40,100,29 saat 31 dakika,['1000 km bakımı: Servise gidin.'],3225.5,3234.4,3231.4,-4,-4,114.5,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,30197.624435424805,-5.0,-214,6,12,234,2.0,49,0,1067.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,33,2,R_position,0,-5.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,68.0,-68.0,Enabled,0,12,19,50,14,48.375,12,85,OFF,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Pressed,Not pressed,Not pressed,OFF,OFF,OFF,0,35.12,33.08,1145,2518.7000000000003,5098.6,7.300000000000001,3225.5,3231.0,3231.5,3231.9,3230.5,3231.9,3233.8,3234.4,3233.9,3227.0,0.1,55.1,3231.1000000000004,3234.1000000000004,3234.1000000000004,3232.5,3229.2000000000003,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0,2,0,2,1,1,1,8,No Fault,0,90,90,43.9375,-45.1875,44.0,-44.8125,0.4375,-1.3125,0.0703125,-5.0,0,0,0,0.0,15,15,15,15,15,15,14,0,24,18,9,11,5,255,0,0,0,0,0,0,2
2025-02-25 09:43:47,0x1919FF71,True,can0,8,39.74735716666667,30.474908833333334,816.6,11.87,-4.49,-4,user1,0,00:40,100,33 saat 40 dakika,['1000 km bakımı: Servise gidin.'],3226.0,3234.8,3232.0,-4,-4,114.5,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,30191.684799194336,-6.0,-189,7,102,78,2.0,49,0,1067.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,33,2,R_position,0,-6.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,68.0,-68.0,Enabled,0,102,109,50,14,48.375,101,174,OFF,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Pressed,Not pressed,Not pressed,OFF,OFF,OFF,0,35.12,33.08,1145,2514.9,5098.400000000001,6.4,3226.0,3231.5,3232.0,3232.5,3231.0,3232.6000000000004,3234.2000000000003,3234.8,3234.4,3227.6000000000004,0.1,55.1,3231.8,3234.6000000000004,3234.6000000000004,3232.8,3229.8,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0,2,0,2,1,1,1,8,No Fault,0,94,94,54.6875,-66.375,52.875,-67.1875,0.25,-1.4375,0.07421875,-7.0,0,0,0,0.0,12,11,11,11,11,12,14,0,24,18,9,11,1,255,0,0,0,0,0,0,2
2025-02-25 09:43:48,0x00000201,False,can0,8,39.747352,30.474908,816.7,11.87,-4.49,-2,user1,0,00:40,100,18 saat 13 dakika,['1000 km bakımı: Servise gidin.'],3233.2000000000003,3241.7000000000003,3238.9,-4,-4,114.5,326.0,326.0,48.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,30186.074981689453,-1.0,-112,0,213,83,1.0,49,0,1067.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,33,0,R_position,0,-1.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,68.0,-68.0,Enabled,0,213,220,50,14,48.5625,213,33,OFF,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Pressed,Not pressed,Not pressed,OFF,OFF,OFF,0,35.12,33.08,1145,2537.3,5098.6,11.8,3233.2000000000003,3238.5,3239.1000000000004,3239.4,3238.0,3239.8,3240.8,3241.5,3241.0,3234.7000000000003,0.0,55.1,3238.8,3241.7000000000003,3241.4,3239.9,3236.8,0.1,0.1,0.1,0.0,0.2,0.1,0.1,0,2,0,2,1,1,2,2,No Fault,0,100,100,21.625,-0.25,21.8125,0.0,0.5,-0.125,0.0234375,0.0,0,0,0,0.0,13,13,13,13,13,13,14,0,24,19,9,11,2,255,0,0,0,0,0,0,2
2025-02-25 09:43:49,0x191271FA,True,can0,8,39.7473485,30.474907833333333,816.9,12.1,-4.49,-2,user1,0,00:40,100,86 saat 22 dakika,['1000 km bakımı: Servise gidin.'],3223.9,3232.7000000000003,3229.9,-4,-4,114.5,326.0,326.0,48.400000000000006,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,30183.770385742188,-18.0,-77,20,50,214,0.5,49,0,1067.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,33,2,R_position,0,-19.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,68.0,-68.0,Enabled,0,50,57,50,14,48.3125,50,122,OFF,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Pressed,Not pressed,Not pressed,OFF,OFF,OFF,0,35.11,33.07,1145,2498.9,5098.900000000001,2.5,3223.9,3229.5,3230.1000000000004,3230.5,3229.0,3230.6000000000004,3232.4,3232.7000000000003,3232.4,3225.5,0.0,55.1,3229.8,3232.3,3232.6000000000004,3231.0,3227.6000000000004,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0,2,0,2,1,1,1,8,No Fault,0,103,103,74.625,-128.125,75.4375,-127.8125,0.3125,-1.4375,0.07421875,-14.0,0,0,0,0.0,12,11,11,11,11,12,14,0,24,18,9,11,1,255,0,0,0,0,0,0,2
2025-02-25 09:43:50,0x191171FA,True,can0,8,39.7473465,30.474907833333333,816.8,12.1,-4.49,-4,user1,0,00:40,100,False,['1000 km bakımı: Servise gidin.'],3212.8,3222.3,3219.0,-4,-4,114.5,326.0,326.0,48.300000000000004,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,30178.121047973633,-18.0,-232,23,155,167,2.5,49,0,1067.8,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,33,2,R_position,0,-18.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,68.0,-68.0,Enabled,0,155,162,50,14,48.1875,154,224,OFF,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Pressed,Not pressed,Not pressed,OFF,OFF,OFF,0,35.11,33.07,1145,2467.7000000000003,5098.5,-5.1000000000000005,3212.8,3218.2000000000003,3218.4,3219.7000000000003,3217.6000000000004,3220.0,3222.1000000000004,3222.3,3221.5,3214.8,0.1,55.1,3219.1000000000004,3221.2000000000003,3221.5,3220.1000000000004,3216.3,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0,2,0,2,1,1,1,8,No Fault,0,110,110,85.9375,-119.75,84.75,-121.1875,0.125,-2.5625,0.12890625,-18.0,0,0,0,0.0,17,17,17,17,17,17,14,0,24,19,9,11,6,255,0,0,0,0,0,0,2
