Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,Mode_Control,Pre_charge_Status,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,Encoder_pos,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,vehicle_speed,range,Throtle_Pedal,Odometer,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,FaultCode,FaultData,SEQ_Fault,CS_Fault,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding,Timer,Severity,Error_Code
2025-02-25 09:50:11,0x191AFF71,True,can0,8,39.747348,30.4749195,817.6,13.32,-4.1,-4,user1,0,00:36,100,18 saat 11 dakika,['1000 km bakımı: Servise gidin.'],Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,31,0,D_Posiiton,0,7.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,6.0,977,21,117,117,68.0,-68.0,Enabled,0,117,124,52,18,48.5,117,198,-11983.023452758789,0,0,0,0,2,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,11.0,47,0,1069.8,33.480000000000004,31.39,1092,2538.7000000000003,5098.1,12.200000000000001,3228.3,3233.3,3234.1000000000004,3234.3,3232.9,3234.7000000000003,3235.6000000000004,3236.4,3236.0,3229.5,0.1,55.1,3233.9,3236.7000000000003,3236.5,3234.9,3231.5,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0,2,0,3,1,1,2,2,3228.3,3236.7000000000003,3233.9,-4,-3,109.2,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,223,223,21.875,56.3125,21.8125,55.875,0.4375,2.75,0.0234375,3.0,0,0,0,0.0,13,13,13,14,13,13,19,0,29,21,11,13,1,255,0,0,2.1,3,2009
2025-02-25 09:50:12,0x191CFF71,True,can0,8,39.7473485,30.474919,818.1,13.32,-4.1,-4,user1,0,00:36,100,18 saat 11 dakika,['1000 km bakımı: Servise gidin.'],Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,31,0,D_Posiiton,0,7.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,6.0,977,21,205,205,68.0,-68.0,Enabled,0,205,212,52,19,48.4375,205,30,-11983.023452758789,0,0,0,0,2,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,11.0,47,0,1069.8,33.480000000000004,31.39,1092,2538.9,5099.0,12.200000000000001,3228.6000000000004,3233.7000000000003,3234.4,3234.7000000000003,3233.3,3235.2000000000003,3236.0,3236.8,3236.3,3229.8,0.1,55.1,3234.2000000000003,3237.2000000000003,3236.9,3235.2000000000003,3231.9,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0,2,0,3,1,1,2,2,3228.6000000000004,3237.2000000000003,3234.2000000000003,-4,-3,109.2,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,227,227,22.4375,0.25,21.8125,55.875,0.375,2.75,0.01953125,3.0,0,0,0,0.0,15,15,15,15,15,15,20,0,30,23,12,14,0,255,0,0,2.1,3,2009
2025-02-25 09:50:13,0x00000203,False,can0,8,39.747348,30.474918833333334,818.4,13.58,-4.1,-4,user1,0,00:36,100,18 saat 39 dakika,['1000 km bakımı: Servise gidin.'],Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,31,0,D_Posiiton,0,7.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,6.0,977,21,61,61,68.0,-68.0,Enabled,0,61,68,52,18,48.5,61,142,-11983.023452758789,0,0,0,0,2,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,11.0,47,0,1069.8,33.480000000000004,31.39,1092,2537.7000000000003,5098.6,11.9,3228.8,3233.8,3234.6000000000004,3234.8,3233.4,3235.1000000000004,3236.1000000000004,3236.9,3236.5,3230.0,0.1,55.1,3234.4,3237.3,3237.0,3235.3,3232.2000000000003,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0,2,0,3,1,1,2,2,3228.8,3237.3,3234.4,-4,-3,109.2,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,233,233,21.875,0.125,21.8125,55.875,0.4375,2.75,0.0234375,3.0,0,0,0,0.0,13,13,13,14,12,12,18,0,28,21,11,13,1,255,0,0,2.1,3,2009
2025-02-25 09:50:14,0x1918FF71,True,can0,8,39.747347,30.474917833333333,818.6,13.58,-4.1,-2,user1,0,00:36,100,18 saat 48 dakika,['1000 km bakımı: Servise gidin.'],Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,31,0,D_Posiiton,0,7.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,6.0,977,21,158,158,68.0,-68.0,Enabled,0,157,164,52,18,48.5,157,238,-11983.023452758789,0,0,0,0,2,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,11.0,47,0,1069.8,33.480000000000004,31.39,1092,2537.3,5099.3,11.8,3229.0,3234.2000000000003,3235.0,3235.1000000000004,3233.7000000000003,3235.4,3236.6000000000004,3237.2000000000003,3236.8,3230.3,0.1,55.1,3234.8,3237.6000000000004,3237.3,3235.8,3232.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,3,1,1,2,2,3229.0,3237.6000000000004,3234.7000000000003,-4,-3,109.2,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,238,238,21.75,0.0625,21.8125,55.875,0.4375,2.75,0.0234375,3.0,0,0,0,0.0,13,13,13,14,12,12,18,0,28,21,11,13,1,255,0,0,2.1,3,2009
2025-02-25 09:50:15,0x191CFF71,True,can0,8,39.74734733333333,30.474917166666668,818.9,13.59,-4.1,-2,user1,0,00:36,100,18 saat 39 dakika,['1000 km bakımı: Servise gidin.'],Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,31,0,D_Posiiton,0,7.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,6.0,977,21,5,5,68.0,-68.0,Enabled,0,5,12,52,18,48.5,5,86,-11983.023452758789,0,0,0,0,2,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,11.0,47,0,1069.8,33.480000000000004,31.39,1091,2537.5,5098.700000000001,11.9,3229.4,3234.5,3235.2000000000003,3235.4,3234.1000000000004,3235.9,3237.0,3237.7000000000003,3237.1000000000004,3230.7000000000003,0.1,55.1,3235.1000000000004,3237.9,3237.8,3236.2000000000003,3233.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,2,0,3,1,1,2,2,3229.4,3237.9,3235.1000000000004,-4,-3,109.10000000000001,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,243,243,22.0,-0.125,21.8125,55.875,0.4375,2.75,0.0234375,3.0,0,0,0,0.0,13,13,13,14,12,12,18,0,28,21,11,13,1,255,0,0,2.1,3,2009
2025-02-25 09:50:16,0x00000203,False,can0,8,39.747348,30.4749165,819.6,13.59,-4.1,-2,user1,0,00:36,100,18 saat 39 dakika,['1000 km bakımı: Servise gidin.'],Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,31,0,D_Posiiton,0,7.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,6.0,977,21,105,105,68.0,-68.0,Enabled,0,105,112,52,19,48.5,105,187,-11983.023452758789,0,0,0,0,2,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,11.0,47,0,1069.8,33.480000000000004,31.39,1091,2537.8,5098.400000000001,11.9,3229.9,3235.0,3235.6000000000004,3235.8,3234.5,3236.3,3237.2000000000003,3238.0,3237.5,3231.1000000000004,0.1,55.1,3235.5,3238.3,3238.1000000000004,3236.4,3233.2000000000003,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0,2,0,3,1,1,2,2,3229.9,3238.3,3235.4,-4,-3,109.10000000000001,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,248,248,22.0,56.3125,21.8125,55.875,0.4375,2.75,0.0234375,3.0,0,0,0,0.0,13,13,13,14,12,12,18,0,28,21,11,12,1,255,0,0,2.1,3,2009
2025-02-25 09:50:17,0x191CFF71,True,can0,8,39.7473485,30.474916666666665,820.2,13.56,-4.1,-2,user1,0,00:36,100,18 saat 20 dakika,['1000 km bakımı: Servise gidin.'],Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,31,0,D_Posiiton,0,7.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,6.0,977,21,205,205,68.0,-68.0,Enabled,0,205,212,52,19,48.5,205,31,-11983.023452758789,0,0,0,0,2,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,11.0,47,0,1069.8,33.480000000000004,31.39,1091,2538.6000000000004,5099.1,12.100000000000001,3230.3,3235.4,3236.2000000000003,3236.4,3235.0,3236.7000000000003,3237.8,3238.5,3238.0,3231.7000000000003,0.1,55.1,3235.9,3238.9,3238.6000000000004,3237.0,3233.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,3,1,1,2,2,3230.3,3238.9,3236.0,-4,-3,109.10000000000001,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,253,253,21.75,-0.0625,21.8125,55.875,0.4375,2.75,0.0234375,3.0,0,0,0,0.0,13,13,13,14,12,12,19,0,28,21,11,12,1,255,0,0,2.1,3,2009
2025-02-25 09:50:18,0x191CFF71,True,can0,8,39.747348833333334,30.474916166666667,820.6,13.56,-4.1,-2,user1,0,00:36,100,18 saat 20 dakika,['1000 km bakımı: Servise gidin.'],Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,31,0,D_Posiiton,0,7.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,6.0,977,21,49,49,68.0,-68.0,Enabled,0,49,56,52,18,48.5,49,130,-11983.023452758789,0,0,0,0,2,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,11.0,47,0,1069.8,33.480000000000004,31.39,1091,2538.6000000000004,5098.6,12.100000000000001,3230.8,3236.0,3236.4,3236.8,3235.5,3237.3,3238.3,3238.9,3238.5,3232.0,0.1,55.1,3236.5,3239.2000000000003,3238.9,3237.3,3234.2000000000003,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0,2,0,3,1,1,2,2,3230.8,3239.2000000000003,3236.4,-4,-3,109.10000000000001,326.0,326.0,48.5,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,2,2,21.875,0.25,21.8125,55.875,0.4375,2.75,0.0234375,3.0,0,0,0,0.0,13,13,13,14,12,12,19,0,28,21,11,12,1,255,0,0,2.1,3,2009
2025-02-25 09:50:19,0x191AFF71,True,can0,8,39.74734983333333,30.474915666666668,821.8,13.35,-4.1,-2,user1,0,00:36,100,18 saat 9 dakika,['1000 km bakımı: Servise gidin.'],Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,31,0,D_Posiiton,0,7.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,6.0,15,21,146,161,68.0,-68.0,Enabled,0,146,153,52,19,48.5,146,228,-11982.810134887695,0,0,0,0,2,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Not pressed,Pressed,Not pressed,OFF,OFF,OFF,0,11.0,47,0,1069.8,33.480000000000004,31.39,1091,2538.8,5099.1,12.200000000000001,3231.2000000000003,3236.2000000000003,3236.8,3237.2000000000003,3235.8,3237.4,3238.4,3239.1000000000004,3238.9,3232.4,0.1,55.1,3236.6000000000004,3239.7000000000003,3239.3,3237.7000000000003,3234.6000000000004,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,2,0,3,1,1,2,2,3231.2000000000003,3239.7000000000003,3236.7000000000003,-4,-3,109.10000000000001,326.0,326.0,48.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,7,7,21.5625,56.3125,21.8125,55.875,0.4375,0.125,0.0234375,3.0,0,0,0,0.0,13,13,13,14,12,12,19,0,28,21,11,12,1,255,0,0,2.1,3,2009
2025-02-25 09:50:20,0x191CFF71,True,can0,8,39.74735033333333,30.474915,822.7,13.35,-4.1,-2,user1,0,00:36,100,18 saat 18 dakika,['1000 km bakımı: Servise gidin.'],Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,31,0,R_position,0,7.0,5,75.0,0,0,-400.0,4700,-1100,0,0,179,0,0.0,0,0,6.0,7,21,249,93,68.0,-68.0,Enabled,0,249,27,52,18,48.5,249,74,-11982.435607910156,0,0,0,0,2,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,Night mode,OFF,ON,ON,Pressed,Not pressed,Not pressed,OFF,OFF,OFF,0,11.0,47,0,1069.8,33.480000000000004,31.39,1091,2538.7000000000003,5099.400000000001,12.100000000000001,3231.2000000000003,3236.4,3237.2000000000003,3237.4,3236.1000000000004,3237.9,3238.8,3239.5,3239.0,3232.4,0.1,55.1,3236.9,3240.0,3239.6000000000004,3238.0,3234.8,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0,2,0,3,1,1,2,2,3231.2000000000003,3240.0,3237.0,-4,-3,109.10000000000001,326.0,326.0,48.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,179.3,711480,100.0,Active,51,0,1,0,0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,No Fault,0,12,12,22.0625,56.3125,21.8125,55.875,0.4375,-0.0625,0.01953125,3.0,0,0,0,0.0,13,13,13,13,13,12,18,0,28,21,11,12,0,255,0,0,2.1,3,2009
